Source,Target,Conn
A1BG,ABCC6,0.37
A1BG,ANXA7,0.37
A1BG,FDXR,0.35
A1BG,KCMF1,0.35
A1BG,PSME4,0.35
A1BG,RNF123,0.35
A1BG,SETD7,0.37
A1BG,SNCA,0.37
A1BG,UBAC1,0.35
A1BG,UBR4,0.35
A1BG,UBXN1,0.35
A1BG,WDR62,0.35
A1BG,ZBTB40,0.35
A1CF,ACTMAP,0.793979519726
A1CF,CAVIN2,0.56
A1CF,CYSRT1,0.898313787677
A1CF,DOK3,0.712825396979
A1CF,ECM1,0.811987374688
A1CF,EIF4G1,0.713459712068
A1CF,FHL2,0.864567067828
A1CF,FHL3,0.56
A1CF,HSPB2,0.78627126727
A1CF,KLHDC7B,0.785329105646
A1CF,KRT31,0.921852462859
A1CF,KRT34,0.903132468157
A1CF,METTL27,0.784510531623
A1CF,OIP5,0.791396527986
A1CF,PLEKHG4,0.854255220317
A1CF,POGZ,0.779607452978
A1CF,PSMG2,0.4
A1CF,PSMG3,0.35
A1CF,REL,0.56
A1CF,RIMBP3,0.822982052794
A1CF,SPMIP6,0.785044185411
A1CF,TRAF1,0.874728959839
A2M,ABLIM3,0.35
A2M,ACTB,0.35
A2M,ADAMTS12,0.44
A2M,ADAMTS7,0.44
A2M,ALPP,0.35
A2M,APOD,0.35
A2M,ARL8B,0.35
A2M,ASAH1,0.35
A2M,ATP5F1A,0.35
A2M,ATP5F1B,0.35
A2M,ATP6V0D1,0.35
A2M,ATP6V1A,0.35
A2M,ATP6V1B2,0.35
A2M,AZU1,0.35
A2M,BMP7,0.35
A2M,CAPN6,0.35
A2M,CDC42,0.17
A2M,CHID1,0.35
A2M,CKMT1B,0.35
A2M,CPA4,0.35
A2M,CRTAC1,0.35
A2M,CTNNB1,0.56
A2M,CTSG,0.35
A2M,CYP11A1,0.35
A2M,CYP19A1,0.35
A2M,CYP2C8,0.37
A2M,DDOST,0.35
A2M,DLST,0.35
A2M,EGFL7,0.35
A2M,EOGT,0.53
A2M,FCGBP,0.4
A2M,FKBP14,0.64
A2M,GALNT12,0.53
A2M,GAPDH,0.35
A2M,GBA1,0.35
A2M,GCDH,0.37
A2M,GEM,0.17
A2M,GLB1,0.35
A2M,GPC6,0.35
A2M,GUSB,0.35
A2M,HAPLN3,0.64
A2M,HSPA5,0.35
A2M,HSPD1,0.35
A2M,IFIT3,0.37
A2M,IFIT5,0.37
A2M,IL1B,0.27
A2M,KAT5,0.56
A2M,LOXL1,0.53
A2M,MAOA,0.35
A2M,METRN,0.53
A2M,METRNL,0.64
A2M,MPO,0.35
A2M,MUC2,0.4
A2M,NUDT16L1,0.35
A2M,OGA,0.37
A2M,PAXIP1,0.37
A2M,PDF,0.53
A2M,PIAS1,0.56
A2M,POFUT1,0.35
A2M,POGLUT1,0.64
A2M,PRADC1,0.64
A2M,PRAM1,0.37
A2M,PRDX2,0.37
A2M,PRTN3,0.35
A2M,PTX3,0.35
A2M,PZP,0.35
A2M,RAP1B,0.37
A2M,SCARB2,0.35
A2M,SEPTIN8,0.37
A2M,SLC25A5,0.35
A2M,SLC25A6,0.35
A2M,SMAP,0.55
A2M,SMN2,0.56
A2M,SRPX2,0.35
A2M,STS,0.35
A2M,SUMF2,0.35
A2M,TPP1,0.35
A2M,TRAPPC5,0.37
A2M,TTR,0.37
A2M,TXN,0.56
A2M,UMPS,0.37
A2M,VDAC1,0.35
A2M,VPS33A,0.56
A2ML1,GSTK1,0.35
A2ML1,SPTBN4,0.35
A4GALT,ABHD14A,0.53
A4GALT,ABHD17B,0.35
A4GALT,CANX,0.53
A4GALT,CILK1,0.35
A4GALT,CLGN,0.35
A4GALT,ICK,0.35
A4GALT,PLEKHB1,0.35
A4GALT,VPS37C,0.35
A4GNT,ABHD14A,0.53
A4GNT,ARF5,0.53
A4GNT,ATP6AP2,0.35
A4GNT,BLK,0.35
A4GNT,CANX,0.35
A4GNT,CHID1,0.35
A4GNT,CILK1,0.35
A4GNT,CLGN,0.35
A4GNT,DHRS7B,0.35
A4GNT,DIPK1A,0.53
A4GNT,ECPAS,0.35
A4GNT,F3,0.35
A4GNT,FAM3C,0.53
A4GNT,FASTKD5,0.35
A4GNT,GPX8,0.35
A4GNT,HLA-C,0.35
A4GNT,ICAM1,0.35
A4GNT,ICK,0.35
A4GNT,IMPA2,0.35
A4GNT,ITFG1,0.35
A4GNT,JMJD8,0.35
A4GNT,LMAN2L,0.35
A4GNT,LMF1,0.35
A4GNT,MR1,0.35
A4GNT,PDXDC1,0.35
A4GNT,PIGT,0.35
A4GNT,POMGNT1,0.35
A4GNT,POMK,0.35
A4GNT,PON2,0.35
A4GNT,POTEF,0.53
A4GNT,PRXL2A,0.53
A4GNT,RNF167,0.53
A4GNT,SLC25A21,0.35
A4GNT,SLC25A4,0.35
A4GNT,SPG7,0.35
A4GNT,SQOR,0.35
A4GNT,TMCO1,0.35
A4GNT,TMEM59,0.35
A4GNT,TMEM59L,0.35
A4GNT,TNFAIP2,0.35
A4GNT,TUBA1A,0.35
AAAS,LORICRIN,0.35
AAAS,NDC1,0.35
AAAS,NUP35,0.35
AACS,CMTM5,0.56
AADAC,APPBP2,0.860436592555
AAGAB,AP1G1,0.67
AAGAB,AP1G2,0.53
AAGAB,AP1S3,0.67
AAGAB,AP2A1,0.35
AAGAB,AP2A2,0.67
AAGAB,AP2S1,0.93
AAGAB,ASAH1,0.35
AAGAB,CCDC32,0.35
AAGAB,EDRF1,0.53
AAGAB,GPX1,0.35
AAGAB,HEATR1,0.56
AAGAB,STX4,0.53
AAGAB,STXBP3,0.53
AAGAB,TBP,0.35
AAGAB,TSKS,0.35
AAK1,ACLY,0.35
AAK1,ACOT9,0.35
AAK1,AP2A1,0.35
AAK1,AP2B1,0.64
AAK1,AP2M1,0.73
AAK1,ATP13A2,0.51
AAK1,CAMK4,0.35
AAK1,CAPZA1,0.35
AAK1,DCTN2,0.35
AAK1,DYNC1H1,0.35
AAK1,EXOC2,0.35
AAK1,GEMIN7,0.35
AAK1,GYS1,0.35
AAK1,MRPL2,0.35
AAK1,PDHX,0.35
AAK1,PSMD4,0.35
AAK1,PSMD7,0.35
AAK1,RACK1,0.35
AAK1,TPP2,0.35
AAK1,WNK1,0.51
AAK1,WNK2,0.35
AAMDC,ACY3,0.56
AAMDC,APP,0.56
AAMDC,DNM2,0.56
AAMDC,GORASP2,0.56
AAMDC,VPS9D1,0.897784710329
AAMP,ACE2,0.53
AAMP,AEN,0.67
AAMP,ARGLU1,0.35
AAMP,ASAH1,0.35
AAMP,BHLHE40,0.56
AAMP,CCDC9,0.35
AAMP,CWF19L2,0.35
AAMP,GABARAPL2,0.55
AAMP,INPP5K,0.35
AAMP,PRPF40A,0.35
AAMP,PTPRU,0.53
AAMP,RPL10,0.35
AAMP,RSRC1,0.35
AAMP,SRSF6,0.35
AAMP,SSRP1,0.35
AAMP,SUB1,0.35
AAMP,SUPT16H,0.35
AAMP,TK1,0.37
AAMP,VPS52,0.56
AAMP,WNK1,0.35
AANAT,BHLHE40,0.72
AANAT,EIF4E3,0.56
AANAT,GRB10,0.805649904808
AANAT,KRTAP8-1,0.822817516786
AANAT,MDFI,0.72
AANAT,NACC2,0.35
AANAT,UBB,0.35
AAR2,AQR,0.35
AAR2,CCDC12,0.35
AAR2,CRNKL1,0.35
AAR2,DDX23,0.53
AAR2,EAPP,0.66
AAR2,ECD,0.53
AAR2,EFTUD2,0.73
AAR2,GHDC,0.35
AAR2,KLHL36,0.53
AAR2,MICA,0.35
AAR2,MYH7,0.35
AAR2,NCDN,0.35
AAR2,POTEF,0.35
AAR2,PRPF6,0.35
AAR2,PRPF8,0.64
AAR2,SLC25A4,0.35
AAR2,SLC7A6OS,0.35
AAR2,SNRNP200,0.53
AAR2,TPM3,0.35
AAR2,TSSC4,0.35
AAR2,TTC27,0.35
AAR2,XAB2,0.35
AAR2,ZNHIT2,0.53
AARD,CENPQ,0.717102288887
AARD,CEP57,0.696310388005
AARD,GRIPAP1,0.915082732068
AARD,KIAA0753,0.851316530612
AARD,KRT24,0.800508113147
AARD,KRT27,0.919044252452
AARD,MAGEB4,0.887480171639
AARD,NTAQ1,0.56
AARD,STX1A,0.924976251118
AARD,STX2,0.928522227698
AARD,STX5,0.906564876648
AARD,TFIP11,0.893033438401
AARD,TSGA10,0.862809431706
AARS1,SAP18,0.4
AARS1,TIMM44,0.4
AARS1,YWHAZ,0.4
AARSD1,AARSD1,0.4
AARSD1,ALKBH2,0.35
AARSD1,ALMS1,0.35
AARSD1,APAF1,0.35
AARSD1,ARID4B,0.837632270129
AARSD1,ARRB2,0.35
AARSD1,BAG2,0.4
AARSD1,BORA,0.35
AARSD1,BRCA1,0.4
AARSD1,BRCA2,0.35
AARSD1,CRAT,0.4
AARSD1,DDHD2,0.35
AARSD1,DET1,0.4
AARSD1,DNAJA4,0.4
AARSD1,DNM3,0.4
AARSD1,DUB1,0.4
AARSD1,DYNLT1,0.893139579898
AARSD1,EIF2AK4,0.4
AARSD1,EIF2C2,0.4
AARSD1,ERBB2,0.4
AARSD1,ERCC2,0.4
AARSD1,ERCC6L,0.35
AARSD1,FAAP100,0.793054629915
AARSD1,FAM83H,0.35
AARSD1,FBXO18,0.4
AARSD1,FBXO7,0.35
AARSD1,FIGNL1,0.35
AARSD1,FOXD4L6,0.4
AARSD1,GNA13,0.4
AARSD1,GNB1,0.4
AARSD1,GTF2IRD2,0.4
AARSD1,GTF3C5,0.4
AARSD1,HAUS6,0.35
AARSD1,HECTD1,0.53
AARSD1,HIG-1,0.4
AARSD1,HOOK1,0.35
AARSD1,HPS5,0.35
AARSD1,HSPA2,0.4
AARSD1,HSPB1,0.35
AARSD1,IFRD2,0.4
AARSD1,IRS4,0.35
AARSD1,ITPRID2,0.35
AARSD1,KAT5,0.4
AARSD1,KEAP1,0.4
AARSD1,KIF1A,0.35
AARSD1,KLHL38,0.4
AARSD1,LUZP1,0.35
AARSD1,MAP3K7,0.35
AARSD1,MARCHF7,0.35
AARSD1,MCM5,0.4
AARSD1,MCM7,0.4
AARSD1,MLF1,0.56
AARSD1,MLF2,0.4
AARSD1,MYHBETA,0.4
AARSD1,NCAPG,0.35
AARSD1,NPHP3,0.35
AARSD1,NR1H3,0.4
AARSD1,PEAK1,0.35
AARSD1,PIWIL2,0.4
AARSD1,POC5,0.35
AARSD1,PRAME,0.4
AARSD1,PRKAR1B,0.35
AARSD1,PRPF6,0.4
AARSD1,PSMC4,0.4
AARSD1,PSMD3,0.4
AARSD1,RAD21,0.35
AARSD1,RAD51D,0.4
AARSD1,RBM14,0.35
AARSD1,REC8,0.4
AARSD1,RGS11,0.4
AARSD1,RIC8B,0.35
AARSD1,RICTOR,0.35
AARSD1,RPL23,0.35
AARSD1,SASS6,0.35
AARSD1,SERPINH1,0.35
AARSD1,SETDB1,0.4
AARSD1,SIM2,0.4
AARSD1,SIRT6,0.4
AARSD1,STIL,0.35
AARSD1,TAB1,0.35
AARSD1,TLR7,0.4
AARSD1,TOP3B,0.4
AARSD1,TRAPPC4,0.35
AARSD1,TRIM45,0.56
AARSD1,TRIP13,0.35
AARSD1,TSSK4,0.4
AARSD1,TUBA1A,0.35
AARSD1,TUBB2A,0.4
AARSD1,TUBB4A,0.4
AARSD1,UBXN1,0.35
AARSD1,USP49,0.4
AARSD1,WNK1,0.35
AARSD1,A8K251,0.4
AARSD1,B3KM70,0.4
AARSD1,PP10122,0.4
AARSD1,Q16221,0.4
AARSD1,Q308M6,0.4
AARSD1,Q59FP4,0.4
AARSD1,Q59G26,0.4
AARSD1,Q59GL9,0.4
AARSD1,Q8N8C6,0.4
AARSD1,Q8TA90,0.4
AARSD1,Q96BE0,0.4
AARSD1,Q9H6G9,0.4
AASDHPPT,CRX,0.818441825162
AASDHPPT,EFHC2,0.884218184439
AASDHPPT,GTF2IRD1,0.4
AASDHPPT,POTEI,0.53
AASDHPPT,SIAH1,0.56
AASDHPPT,TRAF2,0.913332838327
AASDHPPT,USP22,0.907348072425
AATF,ATM,0.54
AATF,ATR,0.44
AATF,CHEK1,0.44
AATF,CHEK2,0.6
AATF,CPD,0.37
AATF,EVPL,0.35
AATF,KAT2A,0.54
AATF,MAPKAPK2,0.44
AATF,MAPT,0.47
AATF,MYCBP2,0.37
AATF,NEDD4L,0.37
AATF,NGDN,0.81
AATF,PCBD2,0.37
AATF,POLR2J,0.51
AATF,RBBP8,0.51
AATF,RELA,0.52
AATF,SP1,0.54
AATF,TADA2A,0.54
AATF,TADA2B,0.54
AATF,TADA3,0.51
AATF,ZNF468,0.37
AATK,ACAD11,0.35
AATK,ACTC1,0.35
AATK,ACTR10,0.27
AATK,ACTR1B,0.27
AATK,AFG3L2,0.27
AATK,AFTPH,0.27
AATK,AHNAK2,0.27
AATK,ANKFY1,0.27
AATK,AP1B1,0.27
AATK,AP2A1,0.27
AATK,AP2B1,0.27
AATK,AP2M1,0.27
AATK,AP3B1,0.27
AATK,APOB,0.35
AATK,ARF4,0.27
AATK,ATAD3A,0.53
AATK,ATP6V1A,0.27
AATK,BAZ1B,0.27
AATK,BDKRB2,0.37
AATK,BTRC,0.35
AATK,CC2D1A,0.27
AATK,CCDC22,0.27
AATK,CDC37,0.35
AATK,CDK1,0.27
AATK,CDK5,0.4
AATK,CDK5R1,0.59
AATK,CNOT1,0.27
AATK,CNOT10,0.27
AATK,CNOT9,0.27
AATK,CNP,0.27
AATK,CPNE3,0.27
AATK,CUL1,0.35
AATK,CYLD,0.27
AATK,DCTN1,0.27
AATK,DCTN3,0.27
AATK,DCTN4,0.27
AATK,DCTN6,0.27
AATK,DDX27,0.27
AATK,DIP2A,0.27
AATK,DNAJA1,0.35
AATK,DNAJA3,0.35
AATK,DPM1,0.35
AATK,DYNC1H1,0.27
AATK,EGLN1,0.27
AATK,EHBP1,0.27
AATK,EIF2S1,0.27
AATK,ENAH,0.27
AATK,EPS15,0.27
AATK,ETF1,0.27
AATK,EXOC4,0.27
AATK,FAM135A,0.27
AATK,FAM91A1,0.27
AATK,FANCI,0.27
AATK,FBXO11,0.35
AATK,FBXW11,0.42
AATK,FHL3,0.27
AATK,FMR1,0.27
AATK,FXR2,0.27
AATK,GCC2,0.27
AATK,GGA3,0.27
AATK,GOLGA2,0.27
AATK,GRWD1,0.27
AATK,HOOK1,0.27
AATK,HSP90AA1,0.35
AATK,HSPA4L,0.42
AATK,HSPB1,0.35
AATK,HSPH1,0.42
AATK,HYOU1,0.27
AATK,ITSN1,0.27
AATK,ITSN2,0.27
AATK,KARS1,0.27
AATK,KIF14,0.27
AATK,KIF5C,0.27
AATK,KLC2,0.27
AATK,LRBA,0.27
AATK,MAP3K7,0.27
AATK,MICALL1,0.27
AATK,MRPS5,0.27
AATK,MRTO4,0.27
AATK,MSN,0.27
AATK,NBEA,0.27
AATK,NCK1,0.27
AATK,NDUFA4,0.42
AATK,NEDD1,0.27
AATK,NTPCR,0.35
AATK,NUP93,0.27
AATK,OXSR1,0.27
AATK,P4HA1,0.53
AATK,P62158,0.27
AATK,PAFAH1B1,0.27
AATK,PDCL3,0.27
AATK,PDIA4,0.27
AATK,PFKP,0.35
AATK,PNP,0.27
AATK,PPP1CA,0.67
AATK,PPP1CB,0.55
AATK,PPP1CC,0.66
AATK,PPP1R11,0.27
AATK,PPP1R2,0.27
AATK,PPP1R7,0.27
AATK,PPP1R8,0.27
AATK,PPP1R9A,0.27
AATK,PPP1R9B,0.27
AATK,PRKDC,0.27
AATK,PSTPIP2,0.27
AATK,PXN,0.27
AATK,QARS1,0.27
AATK,RAB11FIP1,0.27
AATK,RAB11FIP5,0.27
AATK,RABEP1,0.27
AATK,RABGAP1,0.27
AATK,RABL6,0.27
AATK,RALBP1,0.27
AATK,RALGAPA1,0.27
AATK,RBM14,0.27
AATK,RCN1,0.35
AATK,RDX,0.35
AATK,RELCH,0.27
AATK,RHOT2,0.27
AATK,RINL,0.27
AATK,RSL1D1,0.27
AATK,SBDS,0.27
AATK,SEC31A,0.27
AATK,SERPINH1,0.27
AATK,SH3KBP1,0.27
AATK,SLC25A1,0.35
AATK,SLC25A10,0.35
AATK,SLC25A11,0.48
AATK,SLC25A12,0.35
AATK,SLC25A13,0.35
AATK,SLC25A22,0.35
AATK,SLC25A3,0.35
AATK,SMARCA5,0.27
AATK,SSR4,0.35
AATK,STK39,0.27
AATK,SYAP1,0.27
AATK,SYNRG,0.27
AATK,TAB1,0.52
AATK,TEPSIN,0.56
AATK,TIMM44,0.27
AATK,TNIP1,0.27
AATK,TP53,0.27
AATK,TRAPPC10,0.27
AATK,TRAPPC4,0.27
AATK,TRAPPC5,0.27
AATK,TRAPPC9,0.27
AATK,TRIP11,0.27
AATK,UBE2N,0.27
AATK,WASHC2A,0.27
AATK,WASHC4,0.27
AATK,WASHC5,0.27
AATK,WDCP,0.27
AATK,ZFYVE16,0.27
ABCA1,ABCA12,0.59
ABCA1,APOA1,0.62
ABCA1,ARHGEF12,0.4
ABCA1,CANX,0.58
ABCA1,DLG3,0.4
ABCA1,DMD,0.35
ABCA1,DTNB,0.35
ABCA1,FLNA,0.35
ABCA1,FLOT1,0.5
ABCA1,KIF11,0.35
ABCA1,NR1H2,0.42
ABCA1,SNTA1,0.5
ABCA1,SNTB1,0.58
ABCA1,SNTB2,0.51
ABCA1,SPTLC1,0.35
ABCA1,STX12,0.54
ABCA1,UTRN,0.53
ABCA10,ABCA9,0.35
ABCA10,POTEF,0.35
ABCA12,ABCA1,0.59
ABCA2,ABCB9,0.35
ABCA2,ABCD4,0.35
ABCA2,ADCY3,0.35
ABCA2,ATP2A3,0.35
ABCA2,ATP5F1A,0.35
ABCA2,ATP5F1B,0.35
ABCA2,ATP5PB,0.35
ABCA2,CACNA1A,0.37
ABCA2,CANX,0.35
ABCA2,CDK5RAP2,0.37
ABCA2,DNAJC18,0.35
ABCA2,DRD2,0.37
ABCA2,EDEM2,0.35
ABCA2,ENTREP3,0.35
ABCA2,ETNK1,0.35
ABCA2,FBXO45,0.35
ABCA2,FGFR3,0.35
ABCA2,GUCY1B1,0.35
ABCA2,HTR6,0.37
ABCA2,ITPRIPL1,0.35
ABCA2,MYCBP2,0.35
ABCA2,NT5C3A,0.35
ABCA2,OCIAD1,0.35
ABCA2,PDZD8,0.35
ABCA2,PEX11B,0.35
ABCA2,PIGM,0.35
ABCA2,SARAF,0.35
ABCA2,SLC12A4,0.35
ABCA2,SNX14,0.35
ABCA2,ST7L,0.35
ABCA2,XIRP1,0.35
ABCA2,ZNRF2,0.35
ABCA3,HTR2B,0.37
ABCA4,EPS15,0.44
ABCA4,RALY,0.4
ABCA6,ABCA10,0.35
ABCA6,ABCA2,0.35
ABCA6,ABCA8,0.35
ABCA6,ANKLE2,0.35
ABCA6,CISD3,0.35
ABCA6,DNAJC30,0.35
ABCA6,FADS1,0.35
ABCA6,STX6,0.35
ABCA7,ADRB2,0.37
ABCA7,C5AR2,0.37
ABCA8,AMY1C,0.35
ABCA8,CST2,0.35
ABCA8,CST4,0.35
ABCA9,BLK,0.35
ABCA9,GET4,0.35
ABCA9,PMM1,0.35
ABCA9,PMM2,0.35
ABCA9,SERPINB8,0.35
ABCB1,BCCIP,0.37
