Time_Point,Model,AUC,C-index,AUPRC,Best_F1,Precision,Recall
0-Year,Clinic,0.7997987012987012,,0.04683238991536647,0.10687022476545674,0.07692307692307693,0.175
0-Year,Clinic+Lifestyle-opt-pred,0.7911688311688312,,0.04584565455436575,0.0919540180208749,0.0851063829787234,0.1
0-Year,Clinic+ProPathNet-opt-pred,0.9153116883116883,,0.17699082244334616,0.2999999959183674,0.21,0.525
3-Year,Clinic,0.7342322521163356,0.7351748259115283,0.013577293920477464,0.038834947881987325,0.02531645569620253,0.08333333333333333
3-Year,Clinic+Lifestyle-opt,0.7385906462157404,0.7393360934652297,0.013798747526472924,0.03786982193329365,0.0194884287454324,0.6666666666666666
3-Year,Clinic+ProPathNet-opt,0.8508297711843098,0.8508896684681267,0.07044295510018547,0.13749999745000005,0.08088235294117647,0.4583333333333333
5-Year,Clinic,0.686451218483852,0.6890877536679372,0.020395976126197965,0.05092592487654323,0.02696078431372549,0.4583333333333333
5-Year,Clinic+Lifestyle-opt,0.6884908086685217,0.6910787674879155,0.02053899690695493,0.05293440632108916,0.028014616321559074,0.4791666666666667
5-Year,Clinic+ProPathNet-opt,0.8373914326671726,0.837242605566321,0.12205792990607575,0.21739130104499058,0.13736263736263737,0.5208333333333334
10-Year,Clinic,0.6973271011858392,0.701181542391825,0.07699920775352749,0.13617885920459055,0.0803357314148681,0.44666666666666666
10-Year,Clinic+Lifestyle-opt,0.6978464468103525,0.701649901538134,0.07701064705993574,0.13461538192389877,0.08015267175572519,0.42
10-Year,Clinic+ProPathNet-opt,0.8418107850774692,0.8402451789167421,0.24194384001916383,0.3178082143366486,0.26976744186046514,0.38666666666666666
