disease_category,disease_name,disease_folder,sample_size,cindex_base_mean,cindex_base_median,cindex_base_std,cindex_base_ci_lower,cindex_base_ci_upper,cindex_traits_mean,cindex_traits_median,cindex_traits_std,cindex_traits_ci_lower,cindex_traits_ci_upper,cindex_mymodel_mean,cindex_mymodel_median,cindex_mymodel_std,cindex_mymodel_ci_lower,cindex_mymodel_ci_upper,cindex_traits_riskscore_mean,cindex_traits_riskscore_median,cindex_traits_riskscore_std,cindex_traits_riskscore_ci_lower,cindex_traits_riskscore_ci_upper,diff_mymodel_base_mean,diff_mymodel_base_median,diff_mymodel_base_std,diff_mymodel_base_ci_lower,diff_mymodel_base_ci_upper,diff_mymodel_base_significant,diff_mymodel_traits_mean,diff_mymodel_traits_median,diff_mymodel_traits_std,diff_mymodel_traits_ci_lower,diff_mymodel_traits_ci_upper,diff_mymodel_traits_significant,diff_traits_riskscore_mymodel_mean,diff_traits_riskscore_mymodel_median,diff_traits_riskscore_mymodel_std,diff_traits_riskscore_mymodel_ci_lower,diff_traits_riskscore_mymodel_ci_upper,diff_traits_riskscore_mymodel_significant,diff_traits_riskscore_traits_mean,diff_traits_riskscore_traits_median,diff_traits_riskscore_traits_std,diff_traits_riskscore_traits_ci_lower,diff_traits_riskscore_traits_ci_upper,diff_traits_riskscore_traits_significant,file_path
Benign_neoplasm_or_Carcinoma_in_situ,Benign neoplasm and polyp of uterus,Benign_neoplasm_and_polyp_of_uterus_filtered,4727,0.5262517535343163,0.52510371811663,0.0349570892373043,0.4574469394262796,0.5938876524387168,0.5963286944439423,0.5957624492554519,0.0332101633840453,0.533601275937136,0.6616673478274357,0.6006648343881839,0.6013936828483992,0.0309550976170731,0.5380721824207897,0.6631776144710402,0.5967121660470142,0.59766786088059,0.0296681715654613,0.5353295734912575,0.6535464093698581,0.0744130808538676,0.0764104896779681,0.0421121563790978,-0.0084650245895824,0.1542425188406202,No,0.0043361399442415,0.0059759282965018,0.0379652006664247,-0.0709560507342552,0.0722062456732676,No,-0.0039526683411696,-0.0032808066241222,0.0130380477671147,-0.0310241646898302,0.0201000532970901,No,0.0003834716030718,0.000886130456901,0.0358772682836982,-0.072496111767398,0.0623146628887219,No,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Benign_neoplasm_or_Carcinoma_in_situ/Benign_neoplasm_and_polyp_of_uterus_filtered/bootstrap_results/bootstrap_summary_statistics.csv
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma of uterus,Leiomyoma_of_uterus_filtered,4683,0.700661756704287,0.7014733324899347,0.0287202758274785,0.6437848225684151,0.7552512225919694,0.6712242794531833,0.6713719513025851,0.0322378911220986,0.6054683502664522,0.7331309007085914,0.7711757719045241,0.77150373391034,0.0287023453291089,0.7131408344101732,0.8259549095294204,0.7334522720103547,0.7335924753978503,0.0334459484956387,0.6658968771666256,0.7962964305746242,0.0705140152002372,0.0712809522197913,0.0249371491750478,0.0193112434977616,0.1170102342235579,Yes,0.099951492451341,0.0999414766639368,0.0294223557074916,0.0446295835854362,0.1644569341501093,Yes,-0.0377234998941695,-0.0371133295105545,0.0160603901817241,-0.0712847183671219,-0.0102888866795743,Yes,0.0622279925571714,0.0610677511086545,0.0280871635606019,0.0071551763811706,0.1161866146355029,Yes,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Benign_neoplasm_or_Carcinoma_in_situ/Leiomyoma_of_uterus_filtered/bootstrap_results/bootstrap_summary_statistics.csv
Benign_neoplasm_or_Carcinoma_in_situ,"Benign neoplasm of colon, rectum, anus and anal canal",Benign neoplasm and polyp of uterus,7809,0.6585403102551204,0.6585143109341127,0.0152607182852612,0.6286303835230277,0.6877808465900556,0.6628449735314949,0.6630028916911619,0.0157168331516674,0.6306981785612114,0.6927762988126037,0.6856335981233406,0.6844641474219406,0.0159480874421933,0.6549269910870571,0.7175459303486447,0.6835413041667189,0.6832109760219021,0.0158841010106853,0.6512993390224787,0.7140747170256936,0.0270932878682202,0.0270813962632763,0.0122123879650568,0.0036221453380975,0.0515956301775076,Yes,0.0227951413558516,0.0232808054644991,0.011866456854983,0.0004279371944462,0.0453537279019939,Yes,-0.0020922939566217,-0.0021186135664756,0.0037862750870172,-0.0094796100490816,0.0051357827177683,No,0.0207040024122627,0.0211917380376162,0.0106306671415718,-0.0003720496632856,0.0408284716831352,No,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Benign_neoplasm_or_Carcinoma_in_situ/Benign neoplasm and polyp of uterus/bootstrap_results/bootstrap_summary_statistics.csv
Cancers,Primary Malignancy Prostate,Primary_Malignancy_Prostate_filtered,4001,0.715724972018525,0.7164142371688402,0.0171149957686428,0.6832117849555086,0.7475530474651553,0.7005056475234963,0.7006133142542641,0.0187975701911229,0.664245051278211,0.735382061181163,0.826327361455169,0.8264845441315545,0.0153866185477864,0.795706517882688,0.854201000533161,0.8229081078835964,0.8230005540300136,0.0157779271345906,0.7909346492222344,0.8527673272418604,0.1106023894366438,0.1106477563827634,0.0198253911305341,0.070351759319186,0.1475358706418972,Yes,0.1258217139316726,0.1265682536641993,0.0203472301156119,0.085683866253446,0.1650380860809265,Yes,-0.0034192535715726,-0.0033568544910796,0.0034081072446208,-0.0098523033019536,0.0030316017890277,No,0.1224024603601,0.1224967354308314,0.0191628966189301,0.0852285363927046,0.1606042827275959,Yes,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Cancers/Primary_Malignancy_Prostate_filtered/bootstrap_results/bootstrap_summary_statistics.csv
Cancers,Primary Malignancy Other Skin and subcutaneous tissue,Primary Malignancy Other Skin and subcutaneous tissue,8789,0.7007503010892201,0.7011495046152472,0.0159614989449912,0.6696837194123524,0.7340762070672308,0.700298157547252,0.7000761648546744,0.0157860517449204,0.6698057627160914,0.7327208921022763,0.7213323992646832,0.7212779850323932,0.013585459353339,0.6954789689851444,0.7498754743124557,0.7239872462188284,0.7239820581020268,0.0137826296465117,0.698214006122238,0.7523214259961436,0.0205820981754631,0.020232939566798,0.0100229098178253,0.0005359846533412,0.0409060312509695,Yes,0.0210342417174312,0.0208016054473395,0.0111640075412186,-0.0014878449836715,0.0428390348628929,No,0.002654846954145,0.0023760065926369,0.0040720739355202,-0.0051987049012582,0.0106084513886681,No,0.0236890886715763,0.023644961080904,0.0084393701707224,0.0070055815160313,0.0407950696125275,Yes,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Cancers/Primary Malignancy Other Skin and subcutaneous tissue/bootstrap_results/bootstrap_summary_statistics.csv
Cancers,Primary Malignancy Lung and trachea,Primary Malignancy Lung and trachea,8960,0.7175619706291547,0.7198931149224461,0.0310819527275387,0.6540938052930976,0.7721192769358873,0.8351806794595059,0.8362831368642221,0.0254278789541813,0.7838698609623334,0.8808097053558248,0.8884573783279873,0.8889473778549009,0.0165854832616955,0.853872065043047,0.9187339410404828,0.8945010911785646,0.8953423867990506,0.018149552771564,0.8545827498521936,0.9270016152136668,0.1708954076988323,0.1706969487562836,0.0304645934600651,0.113876365731967,0.2333062960959891,Yes,0.0532766988684813,0.0535880453983564,0.0208112201233163,0.0137757290051604,0.0944037104997947,Yes,0.0060437128505773,0.0062408047666735,0.0064528582740686,-0.0075678487412053,0.0181518087934099,No,0.0593204117190586,0.0588867222939363,0.016299987691898,0.0285495775986977,0.0910593108500777,Yes,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Cancers/Primary Malignancy Lung and trachea/bootstrap_results/bootstrap_summary_statistics.csv
Cancers,Secondary Malignancy Lung,Secondary Malignancy Lung,8972,0.6712468181682844,0.6715922744677782,0.0336650848702,0.6052424342529429,0.7379958114763594,0.6876757811809701,0.6878926784660082,0.0304074978129993,0.6289695084013934,0.7469008838889521,0.719234014109472,0.7201695611799546,0.031725091050307,0.6516040956502801,0.7791722979705601,0.7232189039171489,0.7240262912780939,0.0315726347574741,0.659064542214554,0.7851649907928949,0.0479871959411876,0.0485202084321443,0.0323086266919685,-0.0156367480372639,0.1107738836024172,No,0.0315582329285018,0.0311048687097872,0.0277516252907379,-0.0230553206720972,0.0861648577323857,No,0.003984889807677,0.0043540068744341,0.0111443205663222,-0.019394562402603,0.0260329367393938,No,0.0355431227361789,0.0364357807265401,0.0197926878787293,-0.0043937482035402,0.0731361751118433,No,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Cancers/Secondary Malignancy Lung/bootstrap_results/bootstrap_summary_statistics.csv
Cancers,Secondary malignancy Liver and intrahepatic bile duct,Secondary malignancy Liver and intrahepatic bile duct,8960,0.6481261360410067,0.6488319767857813,0.026636027412386,0.594982020705033,0.6987353795653359,0.6537028927625479,0.6535542776996025,0.0267198661933762,0.602356049259151,0.7052465719150847,0.6601114856210851,0.6603974212949977,0.0277888364395133,0.6059728131527108,0.7120082382634484,0.6754116272469152,0.6765145168685751,0.0264907172866726,0.6226938449665772,0.7247615933142257,0.0119853495800783,0.0123530251329359,0.0275247624596153,-0.0432906871639144,0.0631991318544478,No,0.0064085928585371,0.0064842261004047,0.0268318629071332,-0.0470286344464624,0.0566772947706465,No,0.01530014162583,0.0155591027235324,0.010352017157445,-0.0042366561594554,0.0354654808324895,No,0.0217087344843671,0.0217665212141351,0.0184073685910547,-0.0147275128864689,0.0570255240916237,No,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Cancers/Secondary malignancy Liver and intrahepatic bile duct/bootstrap_results/bootstrap_summary_statistics.csv
Cancers,Secondary Malignancy Lymph Nodes,Secondary Malignancy Lymph Nodes,8903,0.5798658080558704,0.5808515513825987,0.0228777604766991,0.5336792705425246,0.6244257980490757,0.5863263868852955,0.5861794292998084,0.0244702528479907,0.5378383554620998,0.6333819271458837,0.649272038681919,0.6499883142969487,0.0233140260844984,0.6021560689317752,0.6935382488297283,0.6343430219730504,0.634360789664317,0.0244493890120094,0.5866647791714368,0.6828236833061422,0.0694062306260487,0.0689678592931997,0.0249435158790905,0.0229128747898946,0.1194079089911442,Yes,0.0629456517966235,0.062193036594833,0.0219719318151656,0.0207793055953504,0.1077214997109998,Yes,-0.0149290167088688,-0.015269617475,0.0118812566647731,-0.0378921070360833,0.0082622201703426,No,0.0480166350877547,0.0474352054337753,0.0127474275829701,0.0238733969773732,0.0735976777826666,Yes,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Cancers/Secondary Malignancy Lymph Nodes/bootstrap_results/bootstrap_summary_statistics.csv
Cancers,Primary Malignancy colorectal and anus,Primary Malignancy colorectal and anus,8919,0.6453628560164744,0.6463680010475656,0.0282339073072365,0.5900256902433719,0.6977302137991661,0.6215317211488548,0.6206984508694027,0.0293963351266374,0.5650465432078661,0.6784666901310598,0.6627189718063419,0.6632749421204098,0.0285880356877139,0.6055953716836839,0.7165852919853395,0.6552294955224798,0.6558753326575252,0.0287576447156242,0.596795040824764,0.7091432156914074,0.0173561157898674,0.0171961107526648,0.0258101863930218,-0.0325978478065546,0.0674822557181743,No,0.0411872506574869,0.0409048259320495,0.027721154719798,-0.0107353268816756,0.0988714445523344,No,-0.007489476283862,-0.0075384673024028,0.0137682648393458,-0.0337521256885597,0.0200066637001933,No,0.0336977743736248,0.0334453621784118,0.0166142930407396,0.0028358683591274,0.0676153435660201,Yes,/bigdat2/user/xuln/olink_disease_predict/67traits_cox_analysis/Cancers/Primary Malignancy colorectal and anus/bootstrap_results/bootstrap_summary_statistics.csv
