disease_category,disease_name,sample_size,cindex_base_mean,cindex_traits_mean,cindex_mymodel_mean,cindex_traits_riskscore_mean,diff_mymodel_base_mean,diff_mymodel_traits_mean,diff_mymodel_base_significant,diff_mymodel_traits_significant
Benign_neoplasm_or_Carcinoma_in_situ,Benign neoplasm and polyp of uterus,4727,0.5263,0.5963,0.6007,0.5967,0.0744,0.0043,No,No
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma of uterus,4683,0.7007,0.6712,0.7712,0.7335,0.0705,0.1,Yes,Yes
Benign_neoplasm_or_Carcinoma_in_situ,"Benign neoplasm of colon, rectum, anus and anal canal",7809,0.6585,0.6628,0.6856,0.6835,0.0271,0.0228,Yes,Yes
Cancers,Primary Malignancy Prostate,4001,0.7157,0.7005,0.8263,0.8229,0.1106,0.1258,Yes,Yes
Cancers,Primary Malignancy Other Skin and subcutaneous tissue,8789,0.7008,0.7003,0.7213,0.724,0.0206,0.021,Yes,No
Cancers,Primary Malignancy Lung and trachea,8960,0.7176,0.8352,0.8885,0.8945,0.1709,0.0533,Yes,Yes
Cancers,Secondary Malignancy Lung,8972,0.6712,0.6877,0.7192,0.7232,0.048,0.0316,No,No
Cancers,Secondary malignancy Liver and intrahepatic bile duct,8960,0.6481,0.6537,0.6601,0.6754,0.012,0.0064,No,No
Cancers,Secondary Malignancy Lymph Nodes,8903,0.5799,0.5863,0.6493,0.6343,0.0694,0.0629,Yes,Yes
Cancers,Primary Malignancy colorectal and anus,8919,0.6454,0.6215,0.6627,0.6552,0.0174,0.0412,No,No
Cancers,Secondary Malignancy retroperitoneum and peritoneum,8985,0.6718,0.6556,0.6832,0.6875,0.0115,0.0276,No,No
Cancers,Secondary Malignancy Bone,8972,0.6883,0.6808,0.7047,0.7114,0.0164,0.0239,No,No
Cancers,Primary Malignancy Breast,8830,0.7377,0.7206,0.7441,0.7308,0.0064,0.0234,No,No
Cancers,Secondary Malignancy Other organs,8940,0.6541,0.6629,0.6773,0.6873,0.0231,0.0144,No,No
Cardiovascular,Right bundle branch block,8952,0.784,0.8217,0.7983,0.8372,0.0143,-0.0235,No,No
Cardiovascular,Nonrheumatic mitral valve disorders,8932,0.6987,0.7167,0.6813,0.698,-0.0174,-0.0354,No,No
Cardiovascular,Hypertension,7615,0.6771,0.7743,0.7678,0.7885,0.0907,-0.0065,Yes,No
Cardiovascular,Coronary heart disease not otherwise specified,8754,0.7379,0.8019,0.8235,0.8256,0.0856,0.0215,Yes,Yes
Cardiovascular,Heart failure,8801,0.7339,0.7952,0.8331,0.6252,0.0991,0.0379,Yes,Yes
Cardiovascular,Stable angina,8702,0.6818,0.7459,0.7795,0.7805,0.0977,0.0336,Yes,Yes
Cardiovascular,Ischaemic stroke,8919,0.6821,0.7206,0.7311,0.7451,0.049,0.0105,No,No
