Category,Disease,Protein,Importance,Rank
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,SERPINE1,0.04639025,1
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,PNLIPRP2,0.043290257,2
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,VIM,0.03812044,3
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,TWF2,0.033927,4
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,LMNB1,0.031164113,5
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,SRC,0.030845717,6
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,SAP18,0.029106066,7
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,GFAP,0.028566195,8
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,RPA2,0.02792831,9
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,PSMD1,0.025962139,10
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,ITGB1,0.024299119,11
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,FOXO3,0.023127075,12
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,TBL1X,0.021703241,13
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,LEFTY2,0.021116203,14
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,CHIT1,0.020281805,15
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,BGN,0.020260999,16
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,GSTA1,0.020226454,17
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,MYH9,0.019569086,18
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,CCNE1,0.019110357,19
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,ARID4B,0.018148404,20
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,EPS8L2,0.017998327,21
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,SMAD2,0.017961793,22
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,SFTPD,0.017774727,23
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,NPHS2,0.016948408,24
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,VPS28,0.016488748,25
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,APP,0.020448834,1
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,SERPINE1,0.0144288335,2
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,PNLIPRP2,0.013839284,3
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,FKBP1B,0.013374726,4
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,AGXT,0.013306007,5
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,PSMD9,0.012853649,6
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,PTPN6,0.012811051,7
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,VAV3,0.01278405,8
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,POLR2F,0.012343911,9
