Category,Disease,Ranked_Proteins
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,"SERPINE1, PNLIPRP2, VIM, TWF2, LMNB1, SRC, SAP18, GFAP, RPA2, PSMD1, ITGB1, FOXO3, TBL1X, LEFTY2, CHIT1, BGN, GSTA1, MYH9, CCNE1, ARID4B, EPS8L2, SMAD2, SFTPD, NPHS2, VPS28"
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,"APP, SERPINE1, PNLIPRP2, FKBP1B, AGXT, PSMD9, PTPN6, VAV3, POLR2F, CDH15, CDKN1A, SIRPA, SKAP2, TBL1X, TOMM20, VIM, TRIM25, FLI1, LMNB1, GSTA1, VPS28, ACY1, SRC, SULT1A1, F7"
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,"LEFTY2, VIM, SERPINE1, HMOX1, PSMD9, SULT1A1, NAMPT, PSMD1, PNLIPRP2, IGFBP1, LMNB1, PARK7, STXBP1, PRL, RUVBL1, MYH9, SMC3, GP1BB, NID2, PSMA1, SFTPD, CASP4, SERPINE2, APOA1, TIMM8A"
Cancers,Primary_Malignancy_Breast,"LEP, KLK3, CGA, CALCA, APOE, VWF, TBL1X, GH1, LYN, SRC, GGT1, MMP3, CA6, GSTA1, APP, CDH15, PGA4, IGFBP1, LPL, LEFTY2, PNLIPRP2, NBN, HSPA1A, SERPINE1, CHIT1"
Cancers,Primary_Malignancy_Lung_and_trachea,"GSTA1, VIM, CEACAM6, PNLIPRP2, SFTPD, CHIT1, BGN, PNLIP, PSMD1, IL6, LMNB1, SULT1A1, SFTPA2, ITGB1, HSPA2, SRC, FN1, SERPINE1, COL2A1, PSMD9, MSLN, IGFBP1, VWF, GCG, ATP6V1G1"
Cancers,Primary_Malignancy_Other_Skin_and_subcutaneous_tissue,"GSTA1, HMOX1, HRAS, LEP, FGF2, VPS37A, PNLIPRP1, POLR2F, COL2A1, KLK3, CDH15, CHIT1, CDC27, NPHS2, PNLIPRP2, SKAP2, VPS28, IGFBP1, SULT1A1, APP, SRC, ATF2, PSMD1, TBL1X, PSMA1"
Cancers,Primary_Malignancy_Prostate_filtered,"KLK3, PNLIPRP2, SERPINE1, PSME2, SRC, PSMD9, PSMD1, CDKN1A, PSMA1, RUVBL1, HSPA2, RNF5, F7, AKT2, ATF2, BPIFB2, TBL1X, PAPPA, FN1, PRL, HSP90B1, PFDN6, GAS6, FURIN, VWF"
Cancers,Primary_Malignancy_colorectal_and_anus,"VIM, TBL1X, PSMD5, COL4A1, TRDMT1, APP, SHC1, PSMD9, MNAT1, TPR, SULT1A1, POLR2F, SERPINE1, FGF2, BHLHE40, CDH15, RAD51, CEACAM8, TP53BP1, LMNB1, CASP4, PTPN6, PNLIPRP2, RANBP2, MYH9"
Cancers,Secondary_Malignancy_Bone,"SFTPD, GSTA1, PSMD5, FGF21, KLK3, BHLHE40, VIM, APOE, SFTPA1, SFTPA2, VWF, COL4A1, TBL1X, BGN, APP, SULT1A1, PSCA, NBN, LMNB1, CEACAM8, SERPINE1, ACY1, COL2A1, MMP9, MSLN"
Cancers,Secondary_Malignancy_Lung,"VWF, PNLIPRP2, PSMD1, SRC, SERPINE1, CEACAM8, DNAJB1, VIM, TERF1, SFTPD, STAT5B, VPS37A, TBL1X, DCTN2, CA13, SIRPA, CEACAM6, TPR, GUCY2C, FGA, PSMD9, SULT1A1, GPC5, GSTA1, RUVBL1"
