Category,Disease_Name,hidden_dim,num_layers,gat_heads,dropout,neuron_min,neuron_ratio,fusion_heads,lr,weight_decay,l2_reg,fusion_type,batch_size,epochs,patience
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,128,4,4,0.4,64,0.6,4,8.431181290512173e-05,9.999999999999999e-05,0.01,bottleneck,512,30,10
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,128,6,8,0.45028416162979873,64,0.24029037780428802,4,0.0001,1e-05,0.004699102375575372,bottleneck,512,30,10
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,128,6,8,0.4,16,0.4206244090505509,4,0.0001,9.999999999999999e-05,0.003534767610919446,bottleneck,512,30,10
Cancers,Primary_Malignancy_colorectal_and_anus,64,4,8,0.4,64,0.6,4,0.0001,1e-05,0.01,bottleneck,512,30,10
Cancers,Secondary_Malignancy_Bone,64,4,4,0.46118340513399975,64,0.5558147195516814,6,0.0001,4.593590378834447e-05,0.01,bottleneck,512,30,10
Cancers,Primary_Malignancy_Other_Skin_and_subcutaneous_tissue,128,8,4,0.4,64,0.2,4,5.599493231516969e-05,9.999999999999999e-05,0.01,bottleneck,512,30,10
Cancers,Secondary_Malignancy_Other_organs,64,4,4,0.4,32,0.6,8,0.0001,2.8360629352075418e-05,0.0015804032711563439,bottleneck,512,30,10
Cancers,Primary_Malignancy_Lung_and_trachea,128,6,4,0.48800667543192777,16,0.47534862399946765,8,0.0001,1e-05,0.01,bottleneck,512,30,10
Cancers,Secondary_malignancy_Liver_and_intrahepatic_bile_duct,64,4,8,0.4,16,0.3904812664207189,8,0.0001,1e-05,0.0001,bottleneck,512,30,10
Cancers,Primary_Malignancy_Prostate_filtered,128,6,4,0.4423016687535864,64,0.5299521859063743,8,0.0001,9.999999999999999e-05,0.0018820619048962961,bottleneck,512,30,10
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,64,4,4,0.43976848081776104,64,0.5160702162124824,6,7.12199651830162e-05,4.477927166527375e-05,0.00675957437775083,bottleneck,512,30,10
Cancers,Secondary_Malignancy_Lymph_Nodes,128,4,4,0.5996574800494602,64,0.33712783622969716,8,0.0001,9.999999999999999e-05,0.0001,bottleneck,512,30,10
Cancers,Primary_Malignancy_Breast,64,4,4,0.43976848081776104,64,0.5160702162124824,6,7.12199651830162e-05,4.477927166527375e-05,0.00675957437775083,bottleneck,512,30,10
Cancers,Secondary_Malignancy_Lung,64,4,4,0.4,32,0.6,6,0.0001,5.896183261743729e-05,0.01,bottleneck,512,30,10
Cardiovascular,Nonrheumatic_mitral_valve_disorders,128,4,4,0.3,64,0.6,6,0.00025947927159373796,1e-06,0.008032326393773125,bottleneck,512,30,10
Cardiovascular,Primary_pulmonary_hypertension,128,6,4,0.4,16,0.2,6,5.388979269251301e-05,1.0959528071963085e-05,0.0012351831639580886,bottleneck,512,30,10
Cardiovascular,Coronary_heart_disease_not_otherwise_specified,64,4,8,0.14655426808606087,16,0.447354403733235,6,0.000890620438616169,8.580760619921308e-06,0.005246634533625288,bottleneck,256,30,10
Cardiovascular,Pulmonary_embolism,64,4,4,0.43976848081776104,64,0.5160702162124824,6,7.12199651830162e-05,4.477927166527375e-05,0.00675957437775083,bottleneck,512,30,10
Cardiovascular,Unstable_Angina,64,4,4,0.43976848081776104,64,0.5160702162124824,6,7.12199651830162e-05,4.477927166527375e-05,0.00675957437775083,bottleneck,512,30,10
Cardiovascular,Myocardial_infarction,64,4,8,0.29643016971798575,16,0.588809222293344,4,0.001,9.999999999999999e-05,0.007281615509515631,bottleneck,512,30,10
Cardiovascular,Right_bundle_branch_block,64,4,8,0.4,16,0.3872064682020859,6,9.458042185789166e-05,2.5632867010868655e-05,0.004379385517366029,bottleneck,512,30,10
Cardiovascular,Stable_angina,64,4,8,0.4,32,0.6,4,8.149404786412688e-05,1e-05,0.0009445596770756131,bottleneck,512,30,10
Cardiovascular,Atrial_fibrillation,128,4,8,0.4161011040125186,64,0.21850520742789692,8,0.0001,1e-05,0.01,bottleneck,512,30,10
Cardiovascular,Multiple_valve_dz,128,6,4,0.3,64,0.6,8,0.001,1e-06,0.0001,bottleneck,512,30,10
Cardiovascular,Nonrheumatic_aortic_valve_disorders,64,4,4,0.3,64,0.5335984921297757,6,0.001,1e-06,0.0015356988250069454,bottleneck,512,30,10
Cardiovascular,Hypertension,64,4,4,0.3,32,0.6,4,0.0007749429211564641,9.999999999999999e-05,0.01,bottleneck,512,30,10
Cardiovascular,Venous_thromboembolic_disease,64,4,8,0.44655426808606086,16,0.447354403733235,6,9.256818992066886e-05,2.9292935359777943e-05,0.005246634533625288,bottleneck,512,30,10
Cardiovascular,Raynaud_syndrome,64,8,8,0.4,32,0.31643036068266484,8,0.0001,2.30161140067492e-05,0.0025710166521967096,bottleneck,512,30,10
Cardiovascular,Peripheral_arterial_disease,64,8,8,0.44678857196534993,16,0.2,6,0.0001,6.138869100788546e-05,0.01,bottleneck,512,30,10
Cardiovascular,Left_bundle_branch_block,64,4,8,0.36983140212909127,16,0.447354403733235,6,0.000890620438616169,8.580760619921308e-06,0.005246634533625288,bottleneck,512,30,10
Cardiovascular,Transient_ischaemic_attack,32,6,8,0.6,64,0.6,6,0.0001,9.999999999999999e-05,0.0001,bottleneck,512,30,10
Cardiovascular,Ischaemic_stroke,64,6,4,0.3508808833599303,16,0.6,4,0.001,9.999999999999999e-05,0.01,bottleneck,512,30,10
Cardiovascular,Supraventricular_tachycardia,64,4,8,0.44655426808606086,16,0.447354403733235,6,9.256818992066886e-05,2.9292935359777943e-05,0.005246634533625288,bottleneck,512,30,10
Cardiovascular,Heart_failure,64,4,4,0.44359141663039,64,0.44493857241837165,6,6.334354899778108e-05,4.118689846899188e-05,0.0009251068257761375,bottleneck,512,30,10
Digestive,Peptic_ulcer_disease,128,4,8,0.4450112594032933,32,0.6,8,3.0449163161414165e-05,1e-05,0.0001,bottleneck,512,30,10
Digestive,Barrett_oesophagus,64,4,8,0.4,32,0.5933976860626471,4,0.0001,9.999999999999999e-05,0.01,bottleneck,512,30,10
Digestive,Gastritis_and_duodenitis,64,4,4,0.43976848081776104,64,0.5160702162124824,6,7.12199651830162e-05,4.477927166527375e-05,0.00675957437775083,bottleneck,512,30,10
Digestive,Irritable_bowel_syndrome,64,4,4,0.4,64,0.3313219703697426,8,0.0001,2.933877336070558e-05,0.01,bottleneck,512,30,10
Digestive,Cholelithiasis,64,4,4,0.43976848081776104,64,0.5160702162124824,6,7.12199651830162e-05,4.477927166527375e-05,0.00675957437775083,bottleneck,512,30,10
Digestive,Diverticular_disease_of_intestine,64,4,4,0.43976848081776104,64,0.5160702162124824,6,7.12199651830162e-05,4.477927166527375e-05,0.00675957437775083,bottleneck,512,30,10
Digestive,Diaphragmatic_hernia,128,6,8,0.4777662895958377,64,0.2227795513408844,4,0.0001,9.999999999999999e-05,0.01,bottleneck,512,30,10
Digestive,Anal_fissure,64,4,4,0.4,32,0.2,6,0.0001,9.999999999999999e-05,0.01,bottleneck,512,30,10
Digestive,Hearing_loss,64,4,8,0.4,32,0.6,6,0.0001,9.999999999999999e-05,0.0003549802562112058,bottleneck,512,30,10
Digestive,Fatty_Liver,32,4,4,0.4,64,0.2704894464471044,6,0.0001,9.999999999999999e-05,0.0001,bottleneck,512,30,10
Digestive,Cholecystitis,64,4,8,0.44655426808606086,16,0.447354403733235,6,9.256818992066886e-05,2.9292935359777943e-05,0.005246634533625288,bottleneck,512,30,10
Digestive,Abdominal_Hernia,128,6,4,0.4,64,0.384034543067329,8,0.0001,1.6335105348234007e-05,0.0012893564128526836,bottleneck,512,30,10
