feature,importance
1289,0.058305338
1090,0.058098547
1379_1.0,0.044513427
1538_0.0,0.043141592
1498,0.0398395
1717_2.0,0.038856678
1210_2.0,0.037331063
2267_2.0,0.03723135
1488,0.035598446
1070,0.035250798
1458,0.03402875
1329_2.0,0.033992864
904,0.03144421
1100_1.0,0.03109333
1249_1.0,0.030100798
1528,0.029906137
2149,0.02937197
1190_2.0,0.02765585
1319,0.0272949
864,0.026844766
1309,0.026161961
1160,0.025848797
1408_3.0,0.025576025
1210_1.0,0.025228595
884,0.025110375
bmi,0.024703473
1299,0.024500633
1448_3.0,0.024488762
2139,0.024486927
smoke_never,0.024482796
1120_1.0,0.024083303
smoke_previous,0.023927353
1747_4.0,0.023340134
1110_2.0,0.023178115
alcohol_3_month,0.022071127
age,0.021824138
1349_2.0,0.021791141
1239_0.0,0.021645399
874,0.021630576
924_3.0,0.021142378
1170_4.0,0.020711731
1170_3.0,0.020515697
1150_2.0,0.020347113
1080,0.02030621
1389_1.0,0.019748643
943_2.0,0.019690067
2267_4.0,0.019323483
1438,0.018796233
1060,0.018706962
1418_2.0,0.018154034
1548_2.0,0.018065713
2277,0.017909994
1180_4.0,0.017772276
1757_3.0,0.017763395
1389_2.0,0.01773235
1249_4.0,0.017576935
1518_2.0,0.017509406
2267_1.0,0.017477833
20160_0.0,0.017397044
1359_2.0,0.017390646
1478_1.0,0.017236026
1727_3.0,0.0172308
1349_1.0,0.016984675
1628_2.0,0.016945733
1200_2.0,0.016493335
1359_3.0,0.016469643
1220_1.0,0.016379056
1548_1.0,0.016373329
1428_3.0,0.016318846
1050,0.016213842
sex,0.016210001
1727_2.0,0.016205942
943_0.0,0.016095312
1339_2.0,0.01599855
1369_2.0,0.015793618
1110_4.0,0.015743721
1468_3.0,0.015714677
924_2.0,0.01539946
1628_3.0,0.015192005
1538_1.0,0.0149581535
1747_3.0,0.014660572
1279,0.014588812
1130_0.0,0.014387293
2237_0.0,0.01430255
1140_0.0,0.014262932
1379_0.0,0.014174019
1140_2.0,0.0140824
20160_1.0,0.01400284
1180_2.0,0.014002626
alcohol_4_week,0.013742112
1110_3.0,0.013681916
1418_3.0,0.01354212
1120_3.0,0.013177272
1369_1.0,0.013166385
1329_3.0,0.013117068
1110_0.0,0.013107598
1220_0.0,0.013099576
1757_1.0,0.013026334
1448_1.0,0.012988718
1170_2.0,0.012959795
1120_0.0,0.012865846
Maternal_8,0.012452896
1200_3.0,0.01234075
1727_1.0,0.011974939
1100_2.0,0.011829252
1329_1.0,0.011758366
Paternal_8,0.011615057
1339_1.0,0.011530424
1190_1.0,0.011390896
1408_4.0,0.011341849
1468_5.0,0.011270077
1468_4.0,0.011250899
2267_3.0,0.011118815
1249_2.0,0.011076389
1249_3.0,0.010971179
1428_1.0,0.010936921
1200_1.0,0.010649023
1408_2.0,0.01063592
alcohol_occassion,0.010581796
1239_2.0,0.0105672395
ethnicity,0.010106142
2237_1.0,0.010079291
Paternal_1,0.0100128595
1349_3.0,0.009980188
1379_2.0,0.009670848
1538_2.0,0.009271418
943_1.0,0.009261026
Maternal_1,0.009196206
alcohol_2_week,0.0091674
1518_3.0,0.009160127
1180_1.0,0.009094205
1150_3.0,0.009072893
1389_0.0,0.00878914
Paternal_6,0.00864143
1259_1.0,0.008552971
alcohol_daily,0.00851851
1468_1.0,0.008480748
1717_3.0,0.0083788885
Paternal_2,0.008307955
943_5.0,0.008293967
smoke_current,0.007861675
Paternal_9,0.007614318
1747_5.0,0.0076133525
1180_3.0,0.0074631097
1150_1.0,0.0074274284
1717_1.0,0.00725584
1518_1.0,0.0072530243
1259_0.0,0.0071955323
1747_1.0,0.007043476
1727_4.0,0.0070153167
1130_1.0,0.006667284
20117_2.0,0.0065097944
Maternal_2,0.006503345
1339_3.0,0.0064712856
Paternal_11,0.00619068
1628_1.0,0.005970613
1448_2.0,0.0058371224
1369_3.0,0.0057422277
1140_1.0,0.005696527
1359_0.0,0.0056814025
1478_3.0,0.0055744583
1359_1.0,0.0055353683
1349_0.0,0.0055187442
Paternal_4,0.005483122
1468_2.0,0.005350491
1120_2.0,0.0050594793
1339_0.0,0.0049747997
1478_2.0,0.0049418346
1269,0.004902351
Maternal_10,0.0048095156
1418_1.0,0.0047566295
Maternal_5,0.0046619647
1369_0.0,0.004620234
943_4.0,0.004584499
1428_0.0,0.0043958947
1757_2.0,0.004339494
1100_3.0,0.0042710244
Paternal_10,0.004078971
Paternal_13,0.0040613003
1408_1.0,0.0039399737
2237_2.0,0.003921388
1329_0.0,0.003876481
1349_4.0,0.003860768
1548_3.0,0.0037689619
1190_3.0,0.0037645404
Maternal_12,0.0037525126
1389_3.0,0.0036840767
1418_5.0,0.0035415597
924_1.0,0.0033457633
alcohol_never,0.0032114622
2159_0.0,0.0031742419
1369_5.0,0.0025697735
1717_5.0,0.002456861
20117_0.0,0.002419241
1239_1.0,0.0023757778
1100_5.0,0.002357995
1349_5.0,0.0023331349
1418_6.0,0.0022766853
1339_5.0,0.0022754767
1110_1.0,0.0022437538
1120_5.0,0.0020282832
