protein,importance
VIM,0.010118112
PNLIPRP2,0.008263975
NBN,0.008117614
SRC,0.007874464
CHIT1,0.0077741044
TBL1X,0.007031071
RAD51,0.006492727
VPS28,0.006403719
VAV3,0.006311687
TIMM8A,0.0062291212
LMNB1,0.0059345104
GSTA1,0.0056133047
SULT1A1,0.0053852443
SIRPA,0.0051452974
PDE5A,0.0050084814
PNLIP,0.00465043
GFER,0.0044556535
CD2AP,0.0043849163
SH2B3,0.0043564555
CASP4,0.0043417974
F7,0.004165869
LIPF,0.004109845
TIMM10,0.0040580877
PTPN6,0.0040441877
NCK2,0.0040397956
LYN,0.0040216437
ATF2,0.0039062854
ANXA2,0.0038382772
HHEX,0.0038338043
TRDMT1,0.0037346643
TNNI3,0.003574336
CHMP6,0.0034614913
APOE,0.0033629804
FXN,0.003344732
ECI2,0.0033280593
GSTP1,0.003241526
SMAD2,0.0032252593
PARK7,0.0032097094
MYH9,0.0032087036
KIF22,0.0032002032
PNLIPRP1,0.0030986578
TPMT,0.0030016697
SERPINE1,0.0029950703
NUDT15,0.002982682
VPS37A,0.0029646894
CAMLG,0.00291365
PXN,0.0028998107
SMC3,0.0028952577
FLI1,0.0028583154
DMD,0.0028380423
HMOX1,0.0027855637
SLC27A4,0.0027846713
SKAP2,0.002743203
AGXT,0.002741627
SMAD3,0.0027412067
SHC1,0.0027201956
VWF,0.0026789077
STAT5B,0.0026291546
NPHS2,0.002587843
CAT,0.002574609
POLR2F,0.0025715008
PRKAR1A,0.0025617117
DOK2,0.0025469502
NAMPT,0.0025354126
CDC27,0.002531493
TOMM20,0.0025239969
GFAP,0.0024632204
MYL6B,0.002462083
GP1BB,0.0024300013
ATP6V1F,0.0023972914
DOCK9,0.0023641754
EHD3,0.002362865
SOD2,0.0023451876
ACY1,0.0023404157
RAB11FIP3,0.0023387447
CEBPB,0.002328951
GUCA2A,0.0023227504
MYBPC2,0.0023086471
DLG4,0.00227778
GP6,0.002276961
DBNL,0.0021878986
GGT1,0.002160018
NID2,0.0021570649
FOXO3,0.0021555596
PSME2,0.0021530369
CHCHD10,0.0021338265
FGF21,0.0021259568
WASL,0.0021054705
SFTPD,0.002094583
PSMD5,0.0020868047
TWF2,0.0020827
APP,0.0020754766
SIRT1,0.0020569689
PLAT,0.0020358914
TSC22D1,0.0020222326
ATP6V1G2,0.00200604
IGFBP1,0.0019937279
HMGCL,0.0019726856
ITGA6,0.001967535
ACOX1,0.0019643737
NME1,0.0019602142
EP300,0.0019459444
CLEC1B,0.0019192143
PRKAB1,0.0019047412
GP1BA,0.0018622819
PGA4,0.0018381024
CDKN1A,0.0018091076
MNAT1,0.0018065652
SSBP1,0.0017982218
GUCY2C,0.0017980516
PSMD1,0.0017971165
GCG,0.00177872
PLIN3,0.0017764629
NOS2,0.0017731525
GPIHBP1,0.0017626829
BAG6,0.0017515881
CDC26,0.0017380705
RANBP2,0.0017201022
LEFTY2,0.001709998
PSMD9,0.0016854974
BHLHE40,0.0016467399
CA13,0.0016448882
