"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor binding","GO:0005102","true","6.71746569138626e-7","6.172794542993741","1346","80","23","20208","APOE,APP,CALCA,FGA,FGF2,FGF21,FGF23,GCG,GH1,HBEGF,IGFBP1,LEP,LPL,LYN,MFGE8,MYH9,PARK7,SERPINE1,SHC1,SMAD2,SRC,TGFB1,VWF"
"GO:MF","signaling receptor activator activity","GO:0030546","true","0.00001851805385623426","4.73240465717405","556","80","14","20208","APOE,APP,CALCA,CGA,FGF2,FGF21,FGF23,GCG,GH1,HBEGF,LEP,LYN,PARK7,TGFB1"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","0.00004196338565446003","4.377129479684094","594","80","14","20208","APOE,APP,CALCA,CGA,FGF2,FGF21,FGF23,GCG,GH1,HBEGF,LEP,LYN,PARK7,TGFB1"
"GO:MF","molecular function activator activity","GO:0140677","false","0.00009478157765085604","4.0232760666921275","1209","80","19","20208","APOE,APP,CALCA,CGA,DNAJB1,FGF2,FGF21,FGF23,GCG,GH1,HBEGF,HRAS,LEP,LYN,MNAT1,PARK7,RANBP2,SRC,TGFB1"
"GO:MF","protein binding","GO:0005515","false","0.0001279436246646643","3.8929813498075765","15082","80","77","20208","APOE,APP,ATP5PO,BHLHE40,CA13,CA3,CALCA,CASP4,CDH15,CEACAM6,CEACAM8,CGA,CHIT1,COL4A1,COL6A3,CSF2RA,DCTN2,DNAJB1,EP300,EPB41L5,FABP1,FGA,FGF2,FGF21,FGF23,FLI1,GCG,GGT1,GH1,GPC5,GSTA1,GUCY2C,HBEGF,HMOX1,HRAS,IGFBP1,IMMT,KIF22,KLK3,LEP,LMNB1,LPL,LYN,MFGE8,MNAT1,MYH9,PAPPA,PARK7,PSMD1,PSMD5,PSMD9,PTPN6,RAD51,RANBP2,RNF5,RUVBL1,SERPINE1,SFTPA2,SFTPD,SHC1,SIRPA,SKAP2,SMAD2,SMC3,SRC,STAT5B,STXBP1,SULT1A1,TBL1X,TERF1,TGFB1,TP53BP1,TPMT,TPR,VIM,VPS37A,VWF"
"GO:MF","cell adhesion molecule binding","GO:0050839","false","0.00016290710973344008","3.7880599614212547","563","80","13","20208","CDH15,DNAJB1,FGA,FGF2,LYN,MFGE8,MYH9,PARK7,PTPN6,RUVBL1,SIRPA,SRC,VWF"
"GO:MF","protein domain specific binding","GO:0019904","true","0.0005481010599513377","3.2611393580617682","627","80","13","20208","APP,BHLHE40,CASP4,EPB41L5,LYN,MYH9,PTPN6,SIRPA,SMAD2,SRC,STXBP1,TERF1,VIM"
"GO:MF","receptor ligand activity","GO:0048018","false","0.0008484289237143014","3.071384534408894","548","80","12","20208","APOE,APP,CALCA,CGA,FGF2,FGF21,FGF23,GCG,GH1,HBEGF,LEP,TGFB1"
"GO:MF","identical protein binding","GO:0042802","false","0.0011476312981557216","2.9401976162024654","2179","80","24","20208","APOE,APP,BHLHE40,CALCA,CEACAM6,DCTN2,FGF2,GCG,HMOX1,LPL,MYH9,PARK7,RAD51,RNF5,SFTPD,SMAD2,STAT5B,STXBP1,TBL1X,TERF1,TGFB1,TPR,VIM,VWF"
"GO:MF","enzyme binding","GO:0019899","false","0.0015980872764509543","2.7963995062197666","2060","80","23","20208","APOE,APP,DCTN2,DNAJB1,HMOX1,LMNB1,LYN,PARK7,PSMD1,PTPN6,RAD51,RANBP2,RNF5,RUVBL1,SERPINE1,SHC1,SIRPA,SMAD2,SRC,STXBP1,TGFB1,TPR,VWF"
"GO:MF","molecular function regulator activity","GO:0098772","false","0.002286118151417842","2.6409013281039893","2266","80","24","20208","APOE,APP,CALCA,CGA,COL6A3,DNAJB1,FGF2,FGF21,FGF23,GCG,GH1,HBEGF,HRAS,LEP,LYN,MNAT1,PARK7,PSMD1,RAD51,RANBP2,SERPINE1,SIRPA,SRC,TGFB1"
"GO:MF","growth factor receptor binding","GO:0070851","false","0.010110249771054807","1.9952381151458023","139","80","6","20208","FGF2,FGF21,FGF23,HBEGF,LYN,SHC1"
"GO:MF","protein-containing complex binding","GO:0044877","false","0.014338625815546714","1.8434924685651743","1252","80","16","20208","APOE,CALCA,DCTN2,FGF2,LPL,LYN,MFGE8,MYH9,RANBP2,RNF5,RUVBL1,SMC3,SRC,TGFB1,TPR,VWF"
"GO:MF","integrin binding","GO:0005178","false","0.02082296323654688","1.681457467634878","158","80","6","20208","FGF2,LYN,MFGE8,MYH9,SRC,VWF"
"GO:MF","growth factor activity","GO:0008083","false","0.023949216778195975","1.6207086849412573","162","80","6","20208","FGF2,FGF21,FGF23,GH1,HBEGF,TGFB1"
"GO:MF","sulfur compound binding","GO:1901681","true","0.04439176803635172","1.3526975575396207","263","80","7","20208","APOE,APP,FGF2,HBEGF,LPL,SULT1A1,TPMT"
"GO:MF","phospholipase binding","GO:0043274","false","0.046851971814241604","1.3292721266540244","22","80","3","20208","LMNB1,SRC,STXBP1"
"GO:BP","cellular response to chemical stimulus","GO:0070887","true","1.5468019866873274e-10","9.81056527879784","2199","79","34","20972","APOE,APP,CALCA,CASP4,CGA,COL4A1,CSF2RA,EP300,FABP1,FGF2,FGF23,GCG,GH1,GSTA1,HBEGF,HMOX1,HRAS,IGFBP1,LEP,LPL,LYN,PARK7,PTPN6,RAD51,SERPINE1,SFTPD,SHC1,SIRPA,SRC,STAT5B,SULT1A1,TGFB1,TPMT,VIM"
"GO:BP","response to chemical","GO:0042221","false","2.326479863111143e-10","9.63330070215825","3863","79","44","20972","APOE,APP,CALCA,CASP4,CGA,COL4A1,COL6A3,CSF2RA,EP300,FABP1,FGA,FGF2,FGF23,GCG,GH1,GSTA1,GUCY2C,HBEGF,HMOX1,HRAS,IGFBP1,LEP,LPL,LYN,MNAT1,PARK7,PTPN6,RAD51,RANBP2,RNF5,SERPINE1,SFTPD,SHC1,SIRPA,SMAD2,SRC,STAT5B,STXBP1,SULT1A1,TERF1,TGFB1,TPMT,TPR,VIM"
"GO:BP","response to oxygen-containing compound","GO:1901700","false","7.044359858214587e-10","9.152158466383788","1632","79","29","20972","APOE,APP,CASP4,COL6A3,CSF2RA,EP300,FABP1,FGF2,FGF23,GCG,GH1,HMOX1,HRAS,IGFBP1,LEP,LPL,LYN,PARK7,PTPN6,RAD51,SERPINE1,SHC1,SIRPA,SMAD2,SRC,STAT5B,STXBP1,TGFB1,VIM"
"GO:BP","regulation of ERK1 and ERK2 cascade","GO:0070372","false","3.479972092324556e-9","8.45842423886895","276","79","14","20972","APOE,APP,FGA,FGF2,FGF21,FGF23,GCG,HRAS,LYN,PTPN6,SHC1,SIRPA,SRC,TGFB1"
"GO:BP","positive regulation of cell communication","GO:0010647","false","5.998587481610047e-9","8.221951003143468","1778","79","29","20972","APOE,APP,CASP4,CSF2RA,EP300,FGA,FGF2,FGF21,FGF23,GCG,GH1,GPC5,HBEGF,HMOX1,HRAS,LEP,LYN,PARK7,PSMD9,PTPN6,RUVBL1,SHC1,SMAD2,SRC,STXBP1,TBL1X,TGFB1,TPR,VWF"
"GO:BP","positive regulation of signaling","GO:0023056","false","6.082774941200364e-9","8.215898251859114","1779","79","29","20972","APOE,APP,CASP4,CSF2RA,EP300,FGA,FGF2,FGF21,FGF23,GCG,GH1,GPC5,HBEGF,HMOX1,HRAS,LEP,LYN,PARK7,PSMD9,PTPN6,RUVBL1,SHC1,SMAD2,SRC,STXBP1,TBL1X,TGFB1,TPR,VWF"
"GO:BP","response to stimulus","GO:0050896","false","9.816782716447105e-9","8.008030821523738","9051","79","64","20972","APOE,APP,BHLHE40,CA3,CALCA,CASP4,CEACAM8,CGA,CHIT1,COL4A1,COL6A3,CSF2RA,DNAJB1,EP300,EPB41L5,FABP1,FGA,FGF2,FGF21,FGF23,GCG,GGT1,GH1,GPC5,GSTA1,GUCY2C,HBEGF,HMOX1,HRAS,IGFBP1,KIF22,KLK3,LEP,LPL,LYN,MNAT1,MYH9,PAPPA,PARK7,PNLIPRP2,PTPN6,RAD51,RANBP2,RNF5,RUVBL1,SERPINE1,SFTPD,SHC1,SIRPA,SKAP2,SMAD2,SMC3,SRC,STAT5B,STXBP1,SULT1A1,TBL1X,TERF1,TGFB1,TP53BP1,TPMT,TPR,VIM,VWF"
"GO:BP","ERK1 and ERK2 cascade","GO:0070371","false","1.0712710267456041e-8","7.970100640718716","300","79","14","20972","APOE,APP,FGA,FGF2,FGF21,FGF23,GCG,HRAS,LYN,PTPN6,SHC1,SIRPA,SRC,TGFB1"
"GO:BP","positive regulation of signal transduction","GO:0009967","false","1.2782318830440864e-8","7.893390354009007","1569","79","27","20972","APOE,APP,CASP4,CSF2RA,EP300,FGA,FGF2,FGF21,FGF23,GCG,GH1,GPC5,HBEGF,HMOX1,HRAS,LEP,LYN,PARK7,PTPN6,RUVBL1,SHC1,SMAD2,SRC,TBL1X,TGFB1,TPR,VWF"
"GO:BP","positive regulation of response to stimulus","GO:0048584","false","2.563641994828545e-8","7.591142622884146","2320","79","32","20972","APOE,APP,CASP4,CSF2RA,EP300,FGA,FGF2,FGF21,FGF23,GCG,GH1,GPC5,HBEGF,HMOX1,HRAS,KLK3,LEP,LPL,LYN,PARK7,PTPN6,RUVBL1,SERPINE1,SHC1,SMAD2,SRC,STAT5B,TBL1X,TGFB1,TP53BP1,TPR,VWF"
"GO:BP","cellular response to oxygen-containing compound","GO:1901701","false","7.734102223115033e-8","7.111590092071411","1194","79","23","20972","APP,CASP4,CSF2RA,EP300,FABP1,FGF23,GCG,GH1,HRAS,IGFBP1,LEP,LPL,LYN,PARK7,PTPN6,RAD51,SERPINE1,SHC1,SIRPA,SRC,STAT5B,TGFB1,VIM"
"GO:BP","positive regulation of ERK1 and ERK2 cascade","GO:0070374","false","2.2518395653935822e-7","6.647462554471792","189","79","11","20972","APOE,APP,FGA,FGF2,FGF21,FGF23,GCG,HRAS,SHC1,SRC,TGFB1"
"GO:BP","regulation of response to stress","GO:0080134","false","3.348878720051218e-7","6.4751005801896815","1410","79","24","20972","APOE,APP,CASP4,DNAJB1,EP300,FGA,FGF2,GGT1,HBEGF,HRAS,KLK3,LEP,LPL,LYN,PARK7,PTPN6,RAD51,RUVBL1,SERPINE1,SIRPA,SRC,STAT5B,TGFB1,TP53BP1"
