"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor binding","GO:0005102","true","6.540545254048662e-11","10.184386045107871","1346","81","28","20208","APOE,APP,BMP4,COL2A1,EPO,FGF2,FGF21,GCG,GFAP,GH1,HBEGF,IGFBP1,IL6,ITGA2,ITGA6,LEP,LYN,MYH9,PARK7,SCP2,SERPINE1,SHC1,SMAD2,SMAD3,SPP1,SRC,VAV3,VWF"
"GO:MF","molecular function activator activity","GO:0140677","true","0.000003954739970562578","5.40288206667006","1209","81","21","20208","AKT2,APOE,APP,BMP4,CDKN1A,EPO,FGF2,FGF21,GCG,GH1,HBEGF,HRAS,IL6,LEP,LYN,NBN,PARK7,PSME1,SPP1,SRC,VAV3"
"GO:MF","integrin binding","GO:0005178","false","0.000007375571149519221","5.1322043431491","158","81","9","20208","FGF2,GFAP,ITGA2,ITGA6,LYN,MYH9,SPP1,SRC,VWF"
"GO:MF","protein binding","GO:0005515","false","0.000010344848920402588","4.985275847532282","15082","81","79","20208","ACY1,AKT2,APOE,APP,ATF2,BMP4,CABP2,CDKN1A,CEACAM6,CEACAM8,CHIT1,COL1A1,COL2A1,COL4A1,CSF2RA,CYB5A,DCTN2,EPO,FABP1,FGF2,FGF21,FOXO3,GCG,GFAP,GH1,GSTA1,HBEGF,HRAS,IGFBP1,IL6,INPPL1,ITGA2,ITGA6,KIF22,LEP,LMNB1,LTBP2,LYN,MYH9,NBN,NID2,PARK7,PDE5A,PGA4,PLIN3,PNLIP,PSMA1,PSMC3,PSMD1,PSMD5,PSMD9,PSME1,PTPN6,SAP18,SCP2,SERPINE1,SFTPA1,SFTPA2,SFTPD,SHC1,SKAP2,SMAD2,SMAD3,SMC3,SNCA,SPARC,SPP1,SRC,STAT5B,TBL1X,TP53BP1,TPMT,TPR,TWF2,VAV3,VIM,VPS28,VPS37A,VWF"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.00002137009633505584","4.670193520059194","556","81","14","20208","APOE,APP,BMP4,EPO,FGF2,FGF21,GCG,GH1,HBEGF,IL6,LEP,LYN,PARK7,SPP1"
"GO:MF","protein-containing complex binding","GO:0044877","false","0.000039027476879333234","4.408629524885877","1252","81","20","20208","APOE,CDKN1A,DCTN2,FGF2,GFAP,ITGA2,ITGA6,LYN,MYH9,NID2,SMAD3,SMC3,SNCA,SPARC,SPP1,SRC,TPR,TWF2,VPS28,VWF"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","0.00004834047040509251","4.31568912775249","594","81","14","20208","APOE,APP,BMP4,EPO,FGF2,FGF21,GCG,GH1,HBEGF,IL6,LEP,LYN,PARK7,SPP1"
"GO:MF","cell adhesion molecule binding","GO:0050839","false","0.00018519470741247638","3.732371428962943","563","81","13","20208","FGF2,GFAP,ITGA2,ITGA6,LYN,MYH9,PARK7,PLIN3,PTPN6,SPP1,SRC,TWF2,VWF"
"GO:MF","growth factor binding","GO:0019838","true","0.0005570906008516449","3.2540741688295545","133","81","7","20208","COL1A1,COL2A1,COL4A1,IGFBP1,ITGA6,LTBP2,SHC1"
"GO:MF","growth factor receptor binding","GO:0070851","false","0.0007494977285878344","3.1252296789774956","139","81","7","20208","FGF2,FGF21,HBEGF,IL6,LYN,SHC1,VAV3"
