"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","identical protein binding","GO:0042802","true","0.00006242065195215454","4.204671699660681","2179","51","20","20208","APOA2,APOA4,APOE,ATF2,CDH1,COL1A1,COL9A1,GCG,GFAP,HMOX1,MYH9,NAMPT,NEFL,PARK7,SFTPD,STAT5B,STXBP1,TBL1X,TPR,VIM"
"GO:MF","phospholipase binding","GO:0043274","true","0.00013536689227264045","3.8684875414225743","22","51","4","20208","LMNB1,NEFL,SRC,STXBP1"
"GO:MF","enzyme binding","GO:0019899","false","0.00013794076030396881","3.860307384589587","2060","51","19","20208","APOA2,APOE,ATF2,CDH1,CDKN1A,COL1A1,DLG4,GFAP,HMOX1,HSPA2,LMNB1,NEFL,PARK7,PDLIM5,RUVBL1,SERPINE1,SRC,STXBP1,TPR"
"GO:MF","phosphatidylcholine-sterol O-acyltransferase activator activity","GO:0060228","true","0.00016024319734092205","3.7952203981274493","6","51","3","20208","APOA2,APOA4,APOE"
"GO:MF","cholesterol transfer activity","GO:0120020","true","0.00023278951027417226","3.6330365933206146","25","51","4","20208","APOA2,APOA4,APOE,SCP2"
"GO:MF","molecular function activator activity","GO:0140677","true","0.000594531230284008","3.2258253272794764","1209","51","14","20208","APOA2,APOA4,APOE,CDKN1A,CTSH,FGF21,GCG,LEP,NAMPT,NBN,PARK7,SRC,VAV3,VGF"
"GO:MF","sterol transfer activity","GO:0120015","false","0.000653182761752756","3.184965285316942","32","51","4","20208","APOA2,APOA4,APOE,SCP2"
"GO:MF","signaling receptor binding","GO:0005102","true","0.0021053906692275236","2.676667306124033","1346","51","14","20208","APOA2,APOE,DLG4,FGF21,GCG,GFAP,ITGA6,LEP,MYH9,PARK7,SCP2,SERPINE1,SRC,VAV3"
"GO:MF","protein-containing complex binding","GO:0044877","true","0.005159938869329781","2.287355443502636","1252","51","13","20208","APOA2,APOE,CDKN1A,CHMP6,DLG4,GFAP,ITGA6,MYH9,NEFL,RUVBL1,SMC3,SRC,TPR"
"GO:MF","protein homodimerization activity","GO:0042803","false","0.00540635428424453","2.267095497917558","717","51","10","20208","APOA2,APOA4,APOE,ATF2,COL9A1,HMOX1,MYH9,PARK7,STAT5B,TPR"
"GO:MF","protein dimerization activity","GO:0046983","false","0.009105316198878818","2.0407049679312443","1122","51","12","20208","APOA2,APOA4,APOE,ATF2,CEACAM8,COL9A1,HMOX1,MYH9,PARK7,SMC3,STAT5B,TPR"
"GO:MF","cadherin binding","GO:0045296","true","0.010638283412954651","1.9731284438854564","335","51","7","20208","CDH1,ITGA6,MYH9,PARK7,PDLIM5,RUVBL1,SRC"
"GO:MF","lipid transfer activity","GO:0120013","false","0.010874282146658419","1.963599402882297","64","51","4","20208","APOA2,APOA4,APOE,SCP2"
"GO:MF","scaffold protein binding","GO:0097110","true","0.013834744922022277","1.8590288437495863","68","51","4","20208","DLG4,PARK7,SRC,VIM"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.037304108278807147","1.4282433369697074","556","51","8","20208","APOA2,APOE,FGF21,GCG,LEP,NAMPT,PARK7,VGF"
"GO:MF","cell adhesion molecule binding","GO:0050839","false","0.04070846577273112","1.3903152650731339","563","51","8","20208","CDH1,GFAP,ITGA6,MYH9,PARK7,PDLIM5,RUVBL1,SRC"
"GO:BP","positive regulation of cellular process","GO:0048522","true","3.874547554835214e-8","7.411779004360425","5739","51","37","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,COL1A1,CTSH,DLG4,FGF21,FLI1,GCG,GFAP,HMOX1,HSPA2,ITGA6,KLK3,LEP,MYH9,NAMPT,NBN,NEFL,PARK7,RUVBL1,SAP18,SCP2,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TBL1X,TP53BP1,TPR,VAV3,VIM,YAP1"
"GO:BP","response to stress","GO:0006950","false","8.797179604945392e-8","7.055656541297326","3984","51","31","20972","APOA4,APOE,ATF2,CDKN1A,CHMP6,COL1A1,GFAP,GGT1,HMOX1,HSPA2,KLK3,LEP,MYH9,NAMPT,NBN,NEFL,PARK7,PNLIPRP2,RUVBL1,SERPINE1,SFTPD,SMC3,SRC,STAT5B,STXBP1,TP53BP1,TPR,VAV3,VGF,VIM,YAP1"
"GO:BP","positive regulation of biological process","GO:0048518","false","3.495881865247888e-7","6.4564432517063475","6150","51","37","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,COL1A1,CTSH,DLG4,FGF21,FLI1,GCG,GFAP,HMOX1,HSPA2,ITGA6,KLK3,LEP,MYH9,NAMPT,NBN,NEFL,PARK7,RUVBL1,SAP18,SCP2,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TBL1X,TP53BP1,TPR,VAV3,VIM,YAP1"
"GO:BP","system development","GO:0048731","false","7.236878721079913e-7","6.140448705418316","4023","51","30","20972","APOA4,APOE,ATF2,BCAN,CDH1,CDKN1A,COL1A1,COL4A1,CTSH,DLG4,FGF21,GFAP,HMOX1,ITGA6,KLK3,LEP,MYH9,NBN,NEFL,PDLIM5,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TP53BP1,VAV3,VGF,VIM,YAP1"
"GO:BP","regulation of biological quality","GO:0065008","false","7.802670855267143e-7","6.107756712802031","2963","51","26","20972","APOA2,APOE,ATF2,ATP6V1F,CDH1,CTSH,DLG4,FLI1,GCG,GFAP,KLK3,LEP,MYH9,NEFL,PARK7,PDLIM5,RUVBL1,SCP2,SERPINE1,SRC,STAT5B,STXBP1,TBL1X,VAV3,VGF,VIM"
"GO:BP","negative regulation of cellular component organization","GO:0051129","false","0.0000011340495187026112","5.945367981395704","695","51","14","20972","APOA2,APOA4,APOE,CDH1,DLG4,GFAP,HSPA2,NBN,PARK7,SRC,STXBP1,TPR,VIM,YAP1"
"GO:BP","developmental process","GO:0032502","false","0.0000023380113893164096","5.631153377560311","6535","51","37","20972","APOA4,APOE,ATF2,ATP6V1F,BCAN,CDH1,CDKN1A,COL1A1,COL4A1,COL9A1,CTSH,DLG4,FGF21,FLI1,GFAP,GGT1,HMOX1,HSPA2,ITGA6,KLK3,LEP,MYH9,NBN,NEFL,PDLIM5,RUVBL1,SERPINE1,SFTPD,SMC3,SRC,STAT5B,STXBP1,TP53BP1,VAV3,VGF,VIM,YAP1"
"GO:BP","positive regulation of biosynthetic process","GO:0009891","false","0.000002826214229635768","5.548794921318892","2645","51","24","20972","APOA2,APOA4,APOE,ATF2,CDH1,COL1A1,CTSH,FLI1,GCG,HMOX1,ITGA6,KLK3,LEP,MYH9,NAMPT,PARK7,RUVBL1,SERPINE1,SRC,STAT5B,TBL1X,TP53BP1,VIM,YAP1"
"GO:BP","positive regulation of metabolic process","GO:0009893","false","0.000002958811979051433","5.528882631681159","3410","51","27","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,COL1A1,CTSH,FLI1,GCG,HMOX1,ITGA6,KLK3,LEP,MYH9,NAMPT,NBN,PARK7,RUVBL1,SCP2,SERPINE1,SRC,STAT5B,TBL1X,TP53BP1,VIM,YAP1"
"GO:BP","regulation of cellular component organization","GO:0051128","false","0.0000032168602341878436","5.492567807870051","2427","51","23","20972","APOA2,APOA4,APOE,CDH1,CDKN1A,CHMP6,DLG4,GFAP,HSPA2,ITGA6,MYH9,NBN,NEFL,PARK7,PDLIM5,RUVBL1,SERPINE1,SFTPD,SRC,STXBP1,TPR,VIM,YAP1"
