"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","scaffold protein binding","GO:0097110","0.02785068775544219","1.5551640757252452","68","5","2","20208","SRC,VIM"
"GO:BP","response to bacterium","GO:0009617","0.002922092156713135","2.534306091440444","719","13","6","20972","PNLIPRP2,SERPINE1,VIM,KLK3,CHIT1,SFTPD"
"GO:BP","response to other organism","GO:0051707","0.01959511583952326","1.707852164780059","1610","6","5","20972","PNLIPRP2,SERPINE1,SRC,VIM,KLK3"
"GO:BP","response to external biotic stimulus","GO:0043207","0.019776070580468257","1.7038599965987016","1613","6","5","20972","PNLIPRP2,SERPINE1,SRC,VIM,KLK3"
"GO:BP","response to biotic stimulus","GO:0009607","0.022251655362485277","1.6526376751077145","1652","6","5","20972","PNLIPRP2,SERPINE1,SRC,VIM,KLK3"
"GO:BP","negative regulation of cell-matrix adhesion","GO:0001953","0.022568873748726546","1.6464901129168084","36","4","2","20972","SERPINE1,SRC"
"GO:BP","protein processing","GO:0016485","0.02733245217403658","1.5633214031452907","215","6","3","20972","SERPINE1,SRC,KLK3"
"GO:BP","response to external stimulus","GO:0009605","0.03143973564619525","1.5025211142827994","2427","13","8","20972","PNLIPRP2,SERPINE1,SRC,VIM,KLK3,CHIT1,APP,SFTPD"
"GO:BP","biological process involved in interspecies interaction between organisms","GO:0044419","0.0318874345310294","1.4963804200432076","1777","6","5","20972","PNLIPRP2,SERPINE1,SRC,VIM,KLK3"
"GO:BP","proteolysis","GO:0006508","0.03920214159066601","1.4066902070712932","801","6","4","20972","TBL1X,SERPINE1,SRC,KLK3"
"GO:BP","defense response","GO:0006952","0.04242277560446598","1.3724009202072764","1883","6","5","20972","PNLIPRP2,SERPINE1,SRC,VIM,KLK3"
"GO:CC","extracellular exosome","GO:0070062","0.00009642115708586996","4.015827661143893","2111","11","8","22155","SERPINE1,SRC,VIM,KLK3,GSTA1,VWF,CEACAM8,APP"
"GO:CC","extracellular space","GO:0005615","0.00009698932746919345","4.013276052086772","3252","13","10","22155","SERPINE1,SRC,VIM,KLK3,GSTA1,VWF,CEACAM8,CHIT1,APP,SFTPD"
"GO:CC","extracellular vesicle","GO:1903561","0.0001075401178044996","3.968429492112051","2141","11","8","22155","SERPINE1,SRC,VIM,KLK3,GSTA1,VWF,CEACAM8,APP"
"GO:CC","extracellular organelle","GO:0043230","0.00010792908987274697","3.9668614851733266","2142","11","8","22155","SERPINE1,SRC,VIM,KLK3,GSTA1,VWF,CEACAM8,APP"
"GO:CC","extracellular membrane-bounded organelle","GO:0065010","0.00010792908987274697","3.9668614851733266","2142","11","8","22155","SERPINE1,SRC,VIM,KLK3,GSTA1,VWF,CEACAM8,APP"
"GO:CC","cytoplasmic vesicle","GO:0031410","0.00018243329933096124","3.7388958875220357","2548","13","9","22155","SERPINE1,SRC,VIM,KLK3,VWF,CEACAM8,CHIT1,APP,SFTPD"
