"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","extracellular matrix structural constituent","GO:0005201","true","0.006519225231017517","2.1858040143734776","169","20","4","20208","LTBP2,ELN,COL5A1,FBLN2"
"GO:MF","peptidase activity","GO:0008233","true","0.007366905738135829","2.13271488704336","627","20","6","20208","REN,MMP7,GGT1,CTSB,MMP9,KLK3"
"GO:MF","extracellular matrix binding","GO:0050840","true","0.010030607315662231","1.9986727712810708","63","20","3","20208","LTBP2,ELN,FBLN2"
"GO:MF","extracellular matrix constituent conferring elasticity","GO:0030023","false","0.010557669548489865","1.9764319353937194","9","20","2","20208","ELN,FBLN2"
"GO:MF","endopeptidase activity","GO:0004175","false","0.011378217742168016","1.9439257595015207","400","20","5","20208","REN,MMP7,CTSB,MMP9,KLK3"
"GO:MF","structural molecule activity conferring elasticity","GO:0097493","false","0.016110625561025375","1.792887595991282","11","20","2","20208","ELN,FBLN2"
"GO:BP","biological process involved in interspecies interaction between organisms","GO:0044419","true","0.00020034880388814142","3.6982132460255444","1777","20","11","20972","REN,MMP7,MYH9,HAVCR1,CTSB,LEP,SRC,PTPN6,MMP9,KLK3,CD14"
"GO:BP","blood circulation","GO:0008015","true","0.00045020058623643537","3.3465939438111025","511","20","7","20972","REN,MYL3,ELN,LEP,SRC,KLK3,SCN4B"
"GO:BP","proteolysis","GO:0006508","true","0.0005721814721468358","3.242466209226784","801","20","8","20972","REN,MMP7,GGT1,MYH9,CTSB,SRC,MMP9,KLK3"
"GO:BP","circulatory system process","GO:0003013","false","0.0012544466926944573","2.9015477891604777","595","20","7","20972","REN,MYL3,ELN,LEP,SRC,KLK3,SCN4B"
"GO:BP","protein processing","GO:0016485","false","0.0023099296246954274","2.6364012513078623","215","20","5","20972","REN,GGT1,MYH9,SRC,KLK3"
"GO:BP","collagen metabolic process","GO:0032963","true","0.0037603496332730144","2.424771772960157","102","20","4","20972","MMP7,CTSB,MMP9,COL5A1"
"GO:BP","phagocytosis","GO:0006909","true","0.003804361244003508","2.4197182512434243","238","20","5","20972","MYH9,HAVCR1,LEP,SRC,CD14"
"GO:BP","symbiont entry into host cell","GO:0046718","false","0.01049738971366379","1.978918679395319","132","20","4","20972","MYH9,HAVCR1,CTSB,SRC"
"GO:BP","regulation of defense response","GO:0031347","true","0.01152018251327803","1.9385406403675265","831","20","7","20972","GGT1,LEP,SRC,PTPN6,MMP9,KLK3,CD14"
"GO:BP","symbiont entry into host","GO:0044409","false","0.012163895509997769","1.91492731917788","137","20","4","20972","MYH9,HAVCR1,CTSB,SRC"
"GO:BP","collagen catabolic process","GO:0030574","false","0.01602903691559528","1.7950925708964918","45","20","3","20972","MMP7,CTSB,MMP9"
"GO:BP","endodermal cell differentiation","GO:0035987","true","0.023438258312175587","1.63007466370833","51","20","3","20972","MYH9,MMP9,COL5A1"
"GO:BP","negative regulation of neutrophil activation","GO:1902564","true","0.02826968992419272","1.5486789550389772","7","20","2","20972","SRC,PTPN6"
"GO:BP","biological process involved in interaction with host","GO:0051701","false","0.03267052915366133","1.485843831344761","176","20","4","20972","MYH9,HAVCR1,CTSB,SRC"
"GO:BP","endoderm formation","GO:0001706","false","0.03830392885924245","1.416756677875269","60","20","3","20972","MYH9,MMP9,COL5A1"
"GO:BP","biological process involved in symbiotic interaction","GO:0044403","false","0.044106545010866784","1.3554969603916802","190","20","4","20972","MYH9,HAVCR1,CTSB,SRC"
"GO:BP","antibacterial peptide production","GO:0002778","true","0.04840688763535897","1.3150928398181514","9","20","2","20972","MMP7,KLK3"
"GO:CC","extracellular region","GO:0005576","true","0.0000012008139066616194","5.920524291158332","4249","20","16","22155","REN,LTBP2,MMP7,GGT1,ELN,MYH9,CTSB,LEP,SRC,PTPN6,MMP9,COL5A1,KLK3,FBLN2,CD14,IGFBP1"
"GO:CC","extracellular space","GO:0005615","false","0.000005663566950736488","5.246909961196733","3252","20","14","22155","REN,LTBP2,MMP7,GGT1,MYH9,CTSB,LEP,SRC,PTPN6,MMP9,COL5A1,KLK3,CD14,IGFBP1"
"GO:CC","extracellular matrix","GO:0031012","true","0.00006641744854671381","4.177717812016262","339","20","6","22155","LTBP2,MMP7,ELN,MMP9,COL5A1,FBLN2"
"GO:CC","external encapsulating structure","GO:0030312","false","0.00006757360269929493","4.170222925966047","340","20","6","22155","LTBP2,MMP7,ELN,MMP9,COL5A1,FBLN2"
"GO:CC","extracellular vesicle","GO:1903561","false","0.00008226316149251905","4.084794603939757","2141","20","11","22155","LTBP2,MMP7,GGT1,MYH9,CTSB,SRC,PTPN6,MMP9,KLK3,FBLN2,CD14"
"GO:CC","extracellular organelle","GO:0043230","false","0.0000826542196319647","4.08273497008891","2142","20","11","22155","LTBP2,MMP7,GGT1,MYH9,CTSB,SRC,PTPN6,MMP9,KLK3,FBLN2,CD14"
