"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","extracellular matrix structural constituent conferring tensile strength","GO:0030020","true","0.005589467837781656","2.2526295384671657","44","23","3","20208","COL1A1,COL9A1,COL4A1"
"GO:MF","kinase regulator activity","GO:0019207","true","0.005871728418657473","2.231234039775578","295","23","5","20208","PPP2R5A,LYN,CASP3,SNCA,STK4"
"GO:MF","molecular function activator activity","GO:0140677","true","0.011829026668228545","1.927050989100559","1209","23","8","20208","PSME2,LEP,PPP2R5A,LYN,CGA,CASP3,STK4,AKT2"
"GO:MF","extracellular matrix structural constituent","GO:0005201","false","0.012473273276340914","1.9040195626152543","169","23","4","20208","COL1A1,COL9A1,COL4A1,ELN"
"GO:MF","platelet-derived growth factor binding","GO:0048407","true","0.022881672147741523","1.6405122413299915","11","23","2","20208","COL1A1,COL4A1"
"GO:MF","molecular function regulator activity","GO:0098772","false","0.029921791890561662","1.5240124019546073","2266","23","10","20208","SOST,PSME2,LEP,PPP2R5A,LYN,CGA,CASP3,SNCA,STK4,AKT2"
"GO:BP","cell surface receptor protein tyrosine kinase signaling pathway","GO:0007169","true","0.00036088187633539267","3.442634927874465","641","23","8","20972","COL1A1,STAT5B,COL4A1,LEP,LYN,CASP3,SNCA,AKT2"
"GO:BP","ovulation cycle process","GO:0022602","true","0.00037087225747130356","3.4307756521870214","50","23","4","20972","STAT5B,LEP,CGA,CASP3"
"GO:BP","enzyme-linked receptor protein signaling pathway","GO:0007167","false","0.0007504853687125885","3.124657770241932","988","23","9","20972","SOST,COL1A1,STAT5B,COL4A1,LEP,LYN,CASP3,SNCA,AKT2"
"GO:BP","ovulation cycle","GO:0042698","false","0.0011472430288046486","2.9403445726055164","66","23","4","20972","STAT5B,LEP,CGA,CASP3"
"GO:BP","regulation of cell adhesion","GO:0030155","true","0.0015969966972098546","2.796695982036231","780","23","8","20972","COL1A1,STAT5B,CEACAM6,LEP,LYN,CASP3,STK4,SFTPD"
"GO:BP","response to hormone","GO:0009725","true","0.004816971447828334","2.317225927920017","904","23","8","20972","SOST,COL1A1,STAT5B,LEP,LYN,CGA,CASP3,AKT2"
"GO:BP","response to estradiol","GO:0032355","true","0.006089686012003293","2.2154050992833447","100","23","4","20972","COL1A1,STAT5B,LEP,CASP3"
"GO:BP","female gonad development","GO:0008585","true","0.007396833085005734","2.1309541813628274","105","23","4","20972","STAT5B,LEP,CGA,CASP3"
"GO:BP","regulation of lymphocyte proliferation","GO:0050670","true","0.007947658610338451","2.0997607961709868","239","23","5","20972","STAT5B,LEP,LYN,CASP3,SFTPD"
"GO:BP","development of primary female sexual characteristics","GO:0046545","false","0.008583506507809395","2.0663352592499464","109","23","4","20972","STAT5B,LEP,CGA,CASP3"
"GO:BP","regulation of mononuclear cell proliferation","GO:0032944","false","0.00861657908894623","2.0646651213764335","243","23","5","20972","STAT5B,LEP,LYN,CASP3,SFTPD"
"GO:BP","cellular response to chemical stimulus","GO:0070887","true","0.01014397856846167","1.9937916770105155","2199","23","11","20972","SOST,COL1A1,STAT5B,COL4A1,LEP,LYN,CGA,CASP3,SNCA,SFTPD,AKT2"
"GO:BP","response to amino acid","GO:0043200","true","0.010991506455813151","1.9589427806783668","116","23","4","20972","COL1A1,COL4A1,LYN,CASP3"
"GO:BP","regulation of leukocyte proliferation","GO:0070663","false","0.014115345786718126","1.8503084783796784","269","23","5","20972","STAT5B,LEP,LYN,CASP3,SFTPD"
"GO:BP","response to acid chemical","GO:0001101","false","0.016741464200240332","1.7762065614994809","129","23","4","20972","COL1A1,COL4A1,LYN,CASP3"
"GO:BP","female sex differentiation","GO:0046660","false","0.016741464200240332","1.7762065614994809","129","23","4","20972","STAT5B,LEP,CGA,CASP3"
"GO:BP","regulation of cell-cell adhesion","GO:0022407","false","0.01781682310723602","1.7491697318365456","493","23","6","20972","STAT5B,CEACAM6,LEP,LYN,CASP3,SFTPD"
