"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","enzyme binding","GO:0019899","true","0.007006893788185872","2.1544744655739843","2060","18","9","20208","SERPINE1,SRC,PSMD1,CDKN1A,RUVBL1,HSPA2,RNF5,ATF2,FN1"
"GO:BP","protein metabolic process","GO:0019538","true","0.0000106125904361702","4.974178595851658","4467","17","15","20972","KLK3,SERPINE1,PSME2,SRC,PSMD1,CDKN1A,PSMA1,HSPA2,RNF5,F7,AKT2,ATF2,TBL1X,PAPPA,FN1"
"GO:BP","response to stress","GO:0006950","true","0.0006675012837145324","3.1755478947430102","3984","17","13","20972","KLK3,PNLIPRP2,SERPINE1,SRC,CDKN1A,PSMA1,RUVBL1,HSPA2,RNF5,F7,AKT2,ATF2,FN1"
"GO:BP","regulation of protein stability","GO:0031647","true","0.015413253928467319","1.8121056666677418","385","17","5","20972","SRC,RUVBL1,RNF5,AKT2,TBL1X"
"GO:BP","positive regulation of platelet-derived growth factor receptor signaling pathway","GO:0010641","true","0.019053930883101106","1.720015414490645","7","17","2","20972","SRC,F7"
"GO:BP","wound healing","GO:0042060","true","0.0290402388349492","1.5369998161994236","439","17","5","20972","SERPINE1,SRC,CDKN1A,F7,FN1"
"GO:BP","protein processing","GO:0016485","false","0.0338569959697207","1.470351578171862","215","17","4","20972","KLK3,SERPINE1,SRC,F7"
"GO:BP","regulation of biological quality","GO:0065008","false","0.03440583023425307","1.463367957893031","2963","17","10","20972","KLK3,SERPINE1,SRC,RUVBL1,RNF5,F7,AKT2,ATF2,TBL1X,FN1"
"GO:BP","proteolysis","GO:0006508","false","0.038625886437968854","1.4131215406881206","801","17","6","20972","KLK3,SERPINE1,SRC,F7,TBL1X,PAPPA"
"GO:CC","peptidase complex","GO:1905368","true","0.0003690109251828127","3.432960775639393","130","17","4","22155","PSME2,PSMD1,PSMA1,F7"
"GO:CC","vesicle","GO:0031982","true","0.00046932074058093307","3.32853025268967","4032","17","12","22155","KLK3,SERPINE1,PSME2,SRC,PSMD1,PSMA1,RUVBL1,HSPA2,F7,AKT2,BPIFB2,FN1"
"GO:CC","extracellular space","GO:0005615","false","0.0005103649401702644","3.292119167385578","3252","17","11","22155","KLK3,SERPINE1,PSME2,SRC,PSMA1,RUVBL1,HSPA2,F7,BPIFB2,PAPPA,FN1"
"GO:CC","extracellular region","GO:0005576","false","0.000834537265700735","3.078554265423514","4249","17","12","22155","KLK3,SERPINE1,PSME2,SRC,PSMD1,PSMA1,RUVBL1,HSPA2,F7,BPIFB2,PAPPA,FN1"
"GO:CC","extracellular exosome","GO:0070062","false","0.0011052190806482669","2.9565516259734754","2111","17","9","22155","KLK3,SERPINE1,PSME2,SRC,PSMA1,RUVBL1,HSPA2,BPIFB2,FN1"
"GO:CC","extracellular vesicle","GO:1903561","false","0.0012419616762858758","2.9058918051532867","2141","17","9","22155","KLK3,SERPINE1,PSME2,SRC,PSMA1,RUVBL1,HSPA2,BPIFB2,FN1"
"GO:CC","extracellular membrane-bounded organelle","GO:0065010","false","0.0012467614711355168","2.904216627258035","2142","17","9","22155","KLK3,SERPINE1,PSME2,SRC,PSMA1,RUVBL1,HSPA2,BPIFB2,FN1"
"GO:CC","extracellular organelle","GO:0043230","false","0.0012467614711355168","2.904216627258035","2142","17","9","22155","KLK3,SERPINE1,PSME2,SRC,PSMA1,RUVBL1,HSPA2,BPIFB2,FN1"
"GO:CC","proteasome complex","GO:0000502","false","0.0025346411632896516","2.5960835163441014","67","17","3","22155","PSME2,PSMD1,PSMA1"
"GO:CC","catalytic complex","GO:1902494","false","0.003584458376909765","2.4455764583197537","1814","17","8","22155","PSME2,PSMD1,CDKN1A,PSMA1,RUVBL1,F7,ATF2,TBL1X"
"GO:CC","endopeptidase complex","GO:1905369","false","0.008422645848038297","2.0745514599609933","100","17","3","22155","PSME2,PSMD1,PSMA1"
"GO:CC","membrane-enclosed lumen","GO:0031974","false","0.01908555776009921","1.7192951436219426","6791","17","13","22155","SERPINE1,PSME2,PSMD1,CDKN1A,PSMA1,RUVBL1,HSPA2,F7,AKT2,ATF2,BPIFB2,TBL1X,FN1"
"GO:CC","intracellular organelle lumen","GO:0070013","true","0.01908555776009921","1.7192951436219426","6791","17","13","22155","SERPINE1,PSME2,PSMD1,CDKN1A,PSMA1,RUVBL1,HSPA2,F7,AKT2,ATF2,BPIFB2,TBL1X,FN1"
"GO:CC","organelle lumen","GO:0043233","false","0.01908555776009921","1.7192951436219426","6791","17","13","22155","SERPINE1,PSME2,PSMD1,CDKN1A,PSMA1,RUVBL1,HSPA2,F7,AKT2,ATF2,BPIFB2,TBL1X,FN1"
"GO:CC","proteasome accessory complex","GO:0022624","false","0.023914919813225032","1.6213310709798603","25","17","2","22155","PSME2,PSMD1"
"KEGG","Proteasome","KEGG:03050","false","0.0047012307892278105","2.327788428235729","46","16","3","8716","PSME2,PSMD1,PSMA1"
"KEGG","Hepatitis B","KEGG:05161","false","0.011525018515621736","1.9383583682180636","163","16","4","8716","SRC,CDKN1A,AKT2,ATF2"
"KEGG","Proteoglycans in cancer","KEGG:05205","false","0.027218564838814976","1.5651347777004656","204","16","4","8716","SRC,CDKN1A,AKT2,FN1"
"KEGG","ErbB signaling pathway","KEGG:04012","false","0.029280743654976495","1.5334178975196753","85","16","3","8716","SRC,CDKN1A,AKT2"
"KEGG","Small cell lung cancer","KEGG:05222","false","0.03812613121638106","1.4187772617764676","93","16","3","8716","CDKN1A,AKT2,FN1"
"KEGG","Human cytomegalovirus infection","KEGG:05163","false","0.039456920381660196","1.403876814508169","225","16","4","8716","SRC,CDKN1A,AKT2,ATF2"
"KEGG","Endocrine resistance","KEGG:01522","false","0.04183814680858615","1.378427560484697","96","16","3","8716","SRC,CDKN1A,AKT2"
"KEGG","AGE-RAGE signaling pathway in diabetic complications","KEGG:04933","false","0.04852566306416911","1.3140285216141512","101","16","3","8716","SERPINE1,AKT2,FN1"
"REAC","Transcriptional regulation by RUNX2","REAC:R-HSA-8878166","false","0.000004875331105926948","5.311995884048743","118","17","6","11056","PSME2,SRC,PSMD1,CDKN1A,PSMA1,AKT2"
"REAC","PIP3 activates AKT signaling","REAC:R-HSA-1257604","false","0.000017963278147483894","4.745614405338522","257","17","7","11056","PSME2,SRC,PSMD1,CDKN1A,PSMA1,AKT2,ATF2"
"REAC","Cyclin E associated events during G1/S transition ","REAC:R-HSA-69202","false","0.00003816004812153797","4.418391086302711","82","17","5","11056","PSME2,PSMD1,CDKN1A,PSMA1,AKT2"
"REAC","Diseases of signal transduction by growth factor receptors and second messengers","REAC:R-HSA-5663202","false","0.000040806743176007945","4.389268065288721","449","17","8","11056","PSME2,SRC,PSMD1,CDKN1A,PSMA1,AKT2,TBL1X,FN1"
"REAC","Cyclin A:Cdk2-associated events at S phase entry","REAC:R-HSA-69656","false","0.00004309780150101493","4.365544883443218","84","17","5","11056","PSME2,PSMD1,CDKN1A,PSMA1,AKT2"
"REAC","Intracellular signaling by second messengers","REAC:R-HSA-9006925","false","0.0000484158341997586","4.315012580897762","297","17","7","11056","PSME2,SRC,PSMD1,CDKN1A,PSMA1,AKT2,ATF2"
"REAC","Transcriptional regulation by RUNX3","REAC:R-HSA-8878159","false","0.00008008089384705474","4.096471087992811","95","17","5","11056","PSME2,SRC,PSMD1,CDKN1A,PSMA1"
"REAC","Cellular response to chemical stress","REAC:R-HSA-9711123","false","0.0001352556623482247","3.86884454452","206","17","6","11056","PSME2,PSMD1,CDKN1A,PSMA1,AKT2,TBL1X"
"REAC","Cytokine Signaling in Immune system","REAC:R-HSA-1280215","false","0.00020023264528367695","3.6984651151146535","780","17","9","11056","PSME2,SRC,PSMD1,CDKN1A,PSMA1,HSPA2,AKT2,ATF2,FN1"
"REAC","KEAP1-NFE2L2 pathway","REAC:R-HSA-9755511","false","0.0003030787675138606","3.5184444875009304","124","17","5","11056","PSME2,PSMD1,CDKN1A,PSMA1,AKT2"
"REAC","G1/S Transition","REAC:R-HSA-69206","false","0.0003980621088152954","3.400049160561137","131","17","5","11056","PSME2,PSMD1,CDKN1A,PSMA1,AKT2"
"REAC","Regulation of RUNX3 expression and activity","REAC:R-HSA-8941858","false","0.0004144422565318718","3.3825359703405","55","17","4","11056","PSME2,SRC,PSMD1,PSMA1"
"REAC","PTEN Regulation","REAC:R-HSA-6807070","false","0.0005151568191584406","3.2880605470208084","138","17","5","11056","PSME2,PSMD1,PSMA1,AKT2,ATF2"
"REAC","SCF(Skp2)-mediated degradation of p27/p21","REAC:R-HSA-187577","false","0.0005897748680532751","3.2293137378851546","60","17","4","11056","PSME2,PSMD1,CDKN1A,PSMA1"
"REAC","Defective CFTR causes cystic fibrosis","REAC:R-HSA-5678895","false","0.000630567458686553","3.2002684453824712","61","17","4","11056","PSME2,PSMD1,PSMA1,RNF5"
"REAC","Mitotic G1 phase and G1/S transition","REAC:R-HSA-453279","false","0.0007278890770740145","3.137934797726854","148","17","5","11056","PSME2,PSMD1,CDKN1A,PSMA1,AKT2"
"REAC","p53-Dependent G1 DNA Damage Response","REAC:R-HSA-69563","false","0.0008667615305697229","3.0621003721930595","66","17","4","11056","PSME2,PSMD1,CDKN1A,PSMA1"
"REAC","p53-Dependent G1/S DNA damage checkpoint","REAC:R-HSA-69580","false","0.0008667615305697229","3.0621003721930595","66","17","4","11056","PSME2,PSMD1,CDKN1A,PSMA1"
"REAC","G1/S DNA Damage Checkpoints","REAC:R-HSA-69615","false","0.000977559628263353","3.0098567424375413","68","17","4","11056","PSME2,PSMD1,CDKN1A,PSMA1"
"REAC","Regulation of PTEN stability and activity","REAC:R-HSA-8948751","false","0.001036738409676964","2.984330811176363","69","17","4","11056","PSME2,PSMD1,PSMA1,AKT2"
"REAC","S Phase","REAC:R-HSA-69242","false","0.0011359812736788924","2.944628827784292","162","17","5","11056","PSME2,PSMD1,CDKN1A,PSMA1,AKT2"
"REAC","ABC transporter disorders","REAC:R-HSA-5619084","false","0.001696148037770837","2.7705362457224405","78","17","4","11056","PSME2,PSMD1,PSMA1,RNF5"
"REAC","The role of GTSE1 in G2/M progression after G2 checkpoint","REAC:R-HSA-8852276","false","0.001784923612454263","2.7483803652097496","79","17","4","11056","PSME2,PSMD1,CDKN1A,PSMA1"
"REAC","BMAL1:CLOCK,NPAS2 activates circadian expression","REAC:R-HSA-1368108","false","0.0028779367849988777","2.5409187497419","27","17","3","11056","SERPINE1,F7,TBL1X"
"REAC","Circadian clock","REAC:R-HSA-9909396","false","0.0028779367849988777","2.5409187497419","27","17","3","11056","SERPINE1,F7,TBL1X"
"REAC","Cellular responses to stress","REAC:R-HSA-2262752","false","0.003030624711681159","2.5184678398570552","792","17","8","11056","PSME2,PSMD1,CDKN1A,PSMA1,HSPA2,AKT2,ATF2,TBL1X"
"REAC","Cellular responses to stimuli","REAC:R-HSA-8953897","false","0.003451527463102332","2.4619886666690265","806","17","8","11056","PSME2,PSMD1,CDKN1A,PSMA1,HSPA2,AKT2,ATF2,TBL1X"
"REAC","UCH proteinases","REAC:R-HSA-5689603","false","0.004939893677572277","2.3062823983922596","102","17","4","11056","PSME2,PSMD1,PSMA1,RUVBL1"
"REAC","ABC-family proteins mediated transport","REAC:R-HSA-382556","false","0.005134632193354828","2.289490660560847","103","17","4","11056","PSME2,PSMD1,PSMA1,RNF5"
"REAC","TCF dependent signaling in response to WNT","REAC:R-HSA-201681","false","0.006406151157530161","2.1934028180751395","231","17","5","11056","PSME2,PSMD1,PSMA1,RUVBL1,AKT2"
"REAC","Generic Transcription Pathway","REAC:R-HSA-212436","false","0.009002914840203711","2.0456168578866443","1231","17","9","11056","SERPINE1,PSME2,SRC,PSMD1,CDKN1A,PSMA1,AKT2,ATF2,TBL1X"
"REAC","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","REAC:R-HSA-381426","false","0.01068078398748317","1.971396868193084","124","17","4","11056","KLK3,BPIFB2,PAPPA,FN1"
"REAC","Cell Cycle","REAC:R-HSA-1640170","false","0.012149568379328434","1.9154391503624215","680","17","7","11056","PSME2,PSMD1,CDKN1A,PSMA1,RUVBL1,HSPA2,AKT2"
