"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","peptidase activity","GO:0008233","true","0.003417717452653261","2.466263843846316","627","18","6","20208","REN,PLAT,KLK3,GGT1,FURIN,PCSK9"
"GO:MF","serine-type endopeptidase activity","GO:0004252","false","0.005355514623386631","2.2711987904981363","184","18","4","20208","PLAT,KLK3,FURIN,PCSK9"
"GO:MF","endopeptidase activity","GO:0004175","false","0.005967896534171521","2.224178714863117","400","18","5","20208","REN,PLAT,KLK3,FURIN,PCSK9"
"GO:MF","serine-type peptidase activity","GO:0008236","false","0.00757563652956726","2.1205808704606994","201","18","4","20208","PLAT,KLK3,FURIN,PCSK9"
"GO:MF","serine hydrolase activity","GO:0017171","false","0.008183509564016136","2.0870604056917568","205","18","4","20208","PLAT,KLK3,FURIN,PCSK9"
"GO:MF","signaling receptor binding","GO:0005102","true","0.027574088155692077","1.5594988402839278","1346","18","7","20208","APP,REN,PLAT,COL2A1,GFAP,PCSK9,SERPINE1"
"GO:MF","serine-type endopeptidase inhibitor activity","GO:0004867","true","0.028853229571841676","1.5398055687567622","103","18","3","20208","APP,FURIN,SERPINE1"
"GO:MF","molecular function inhibitor activity","GO:0140678","true","0.029388786648893425","1.5318183439228947","559","18","5","20208","APP,FURIN,PCSK9,CDKN1A,SERPINE1"
"GO:MF","protein serine/threonine kinase binding","GO:0120283","true","0.04528987346113974","1.343998892724098","21","18","2","20208","APP,CDKN1A"
"GO:BP","zymogen activation","GO:0031638","true","4.462339050071329e-7","6.350437434952906","45","18","5","20972","PLAT,KLK3,GGT1,FURIN,SERPINE1"
"GO:BP","protein processing","GO:0016485","false","4.589707501641873e-7","6.338214990817987","215","18","7","20972","REN,PLAT,KLK3,GGT1,FURIN,PCSK9,SERPINE1"
"GO:BP","response to stress","GO:0006950","true","0.000009900169950391454","5.004357350060664","3984","18","15","20972","SFTPD,APP,PNLIPRP2,REN,PLAT,FABP1,KLK3,AKT2,VIM,GFAP,GGT1,FURIN,PCSK9,CDKN1A,SERPINE1"
"GO:BP","protein maturation","GO:0051604","false","0.0002325894887136226","3.6334099159911535","530","18","7","20972","REN,PLAT,KLK3,GGT1,FURIN,PCSK9,SERPINE1"
"GO:BP","response to external stimulus","GO:0009605","false","0.0010487084334224299","2.9793452395058155","2427","18","11","20972","SFTPD,APP,PNLIPRP2,REN,PLAT,CHIT1,KLK3,VIM,GGT1,FURIN,SERPINE1"
"GO:BP","response to bacterium","GO:0009617","true","0.0018188561230293927","2.7402016535729743","719","18","7","20972","SFTPD,PNLIPRP2,REN,CHIT1,KLK3,VIM,SERPINE1"
"GO:BP","proteolysis","GO:0006508","false","0.0037379903467981497","2.4273618245028556","801","18","7","20972","REN,PLAT,KLK3,GGT1,FURIN,PCSK9,SERPINE1"
"GO:BP","glial cell development","GO:0021782","true","0.005403962992553691","2.2672876337774595","127","18","4","20972","APP,AKT2,VIM,GFAP"
"GO:BP","regulation of lipid transport","GO:0032368","true","0.005575298438395942","2.2537318804449042","128","18","4","20972","REN,AKT2,FURIN,PCSK9"
"GO:BP","astrocyte development","GO:0014002","false","0.006998147763258535","2.1550168917916217","39","18","3","20972","APP,VIM,GFAP"
"GO:BP","response to stimulus","GO:0050896","false","0.00972635469409095","2.012049896923128","9051","18","17","20972","SFTPD,APP,PNLIPRP2,REN,PLAT,CHIT1,FABP1,KLK3,AKT2,COL2A1,VIM,GFAP,GGT1,FURIN,PCSK9,CDKN1A,SERPINE1"
"GO:BP","regulation of lipid localization","GO:1905952","false","0.011317813634045914","1.9462374616970202","153","18","4","20972","REN,AKT2,FURIN,PCSK9"
"GO:BP","low-density lipoprotein particle receptor catabolic process","GO:0032802","true","0.01531655015071819","1.8148390427467782","6","18","2","20972","FURIN,PCSK9"
"GO:BP","low-density lipoprotein receptor particle metabolic process","GO:0032799","false","0.01531655015071819","1.8148390427467782","6","18","2","20972","FURIN,PCSK9"
"GO:BP","regulation of low-density lipoprotein particle receptor catabolic process","GO:0032803","false","0.01531655015071819","1.8148390427467782","6","18","2","20972","FURIN,PCSK9"
"GO:BP","negative regulation of plasminogen activation","GO:0010757","true","0.021432264076435604","1.6689319482318639","7","18","2","20972","PLAT,SERPINE1"
"GO:BP","regulation of protein metabolic process","GO:0051246","true","0.032146586160164976","1.4928651406409539","1574","18","8","20972","APP,PLAT,AKT2,GFAP,FURIN,PCSK9,CDKN1A,SERPINE1"
"GO:BP","lipid transport","GO:0006869","false","0.03699612959144122","1.4318437079600748","433","18","5","20972","REN,FABP1,AKT2,FURIN,PCSK9"
"GO:BP","lipid localization","GO:0010876","false","0.044969383626697584","1.3470830650528842","451","18","5","20972","REN,FABP1,AKT2,FURIN,PCSK9"
"GO:CC","extracellular space","GO:0005615","true","1.3395850110646064e-7","6.873029720529266","3252","17","14","22155","SFTPD,APP,REN,PLAT,CHIT1,FABP1,KLK3,COL2A1,VIM,GGT1,FURIN,CDH15,PCSK9,SERPINE1"
"GO:CC","extracellular region","GO:0005576","false","0.000004907443434837806","5.30914469755157","4249","17","14","22155","SFTPD,APP,REN,PLAT,CHIT1,FABP1,KLK3,COL2A1,VIM,GGT1,FURIN,CDH15,PCSK9,SERPINE1"
"GO:CC","vesicle","GO:0031982","false","0.00003914098111364471","4.407368292451607","4032","17","13","22155","SFTPD,APP,PLAT,CHIT1,FABP1,KLK3,AKT2,VIM,GGT1,FURIN,CDH15,PCSK9,SERPINE1"
"GO:CC","cytoplasmic vesicle","GO:0031410","false","0.0005227476308961586","3.2817079267380413","2548","17","10","22155","SFTPD,APP,PLAT,CHIT1,KLK3,AKT2,VIM,FURIN,PCSK9,SERPINE1"
"GO:CC","intracellular vesicle","GO:0097708","false","0.0005380505341032597","3.26917693315975","2556","17","10","22155","SFTPD,APP,PLAT,CHIT1,KLK3,AKT2,VIM,FURIN,PCSK9,SERPINE1"
"GO:CC","extracellular exosome","GO:0070062","false","0.0011052190806482669","2.9565516259734754","2111","17","9","22155","APP,PLAT,FABP1,KLK3,VIM,GGT1,FURIN,CDH15,SERPINE1"
"GO:CC","serine protease inhibitor complex","GO:0097180","true","0.001206044953871013","2.918636504091171","6","17","2","22155","PLAT,SERPINE1"
"GO:CC","extracellular vesicle","GO:1903561","false","0.0012419616762858758","2.9058918051532867","2141","17","9","22155","APP,PLAT,FABP1,KLK3,VIM,GGT1,FURIN,CDH15,SERPINE1"
"GO:CC","extracellular membrane-bounded organelle","GO:0065010","false","0.0012467614711355168","2.904216627258035","2142","17","9","22155","APP,PLAT,FABP1,KLK3,VIM,GGT1,FURIN,CDH15,SERPINE1"
"GO:CC","extracellular organelle","GO:0043230","false","0.0012467614711355168","2.904216627258035","2142","17","9","22155","APP,PLAT,FABP1,KLK3,VIM,GGT1,FURIN,CDH15,SERPINE1"
"GO:CC","protease inhibitor complex","GO:0097179","false","0.0022492520927326763","2.6479618667754905","8","17","2","22155","PLAT,SERPINE1"
"GO:CC","peptidase inhibitor complex","GO:1904090","false","0.004412194229139599","2.355345377739807","11","17","2","22155","PLAT,SERPINE1"
"GO:CC","endoplasmic reticulum lumen","GO:0005788","true","0.01304613404953063","1.8845181633980503","322","17","4","22155","SFTPD,APP,COL2A1,PCSK9"
"GO:CC","endomembrane system","GO:0012505","true","0.03147339541803744","1.5020564019303633","4949","17","11","22155","SFTPD,APP,PLAT,CHIT1,KLK3,AKT2,COL2A1,FURIN,CDH15,PCSK9,SERPINE1"
"KEGG","Prostate cancer","KEGG:05215","false","0.003687782100787584","2.4332347479278638","106","18","4","8716","PLAT,KLK3,AKT2,CDKN1A"
"REAC","Signaling by PDGF","REAC:R-HSA-186797","false","0.023786416771938775","1.6236709759274701","54","17","3","11056","PLAT,COL2A1,FURIN"
"WP","Omega 6 fatty acids in senescence","WP:WP5424","false","0.010935647962515109","1.961155478908225","48","16","3","8899","GGT1,CDKN1A,SERPINE1"
"WP","Apoptosis related network due to altered Notch3 in ovarian cancer","WP:WP2864","false","0.014730380326475102","1.8317860398812582","53","16","3","8899","APP,VIM,CDKN1A"
"CORUM","Amyloid beta protein homo-oligomer complex","CORUM:2711","false","0.04981948739068925","1.302600745377199","1","6","1","3383","APP"
"CORUM","PCNA-p21 complex","CORUM:314","false","0.04981948739068925","1.302600745377199","1","6","1","3383","CDKN1A"
