Disease_Type,Disease,Trait_Only_Test_Cindex,Trait_LS_Best_Count,Trait_LS_Best_Test_Cindex,Trait_Protein_Best_Count,Trait_Protein_Best_Test_Cindex,Combined_Test_Cindex,improve_ls,improve_Protein,improve_Combined
Cancers,Primary Malignancy Breast,0.7212434456690001,27,0.7238030025970217,8,0.7257057314625425,0.7280668051532306,0.0025595569280215,0.0044622857935423,0.0068233594842305
Cancers,Primary Malignancy Lung and trachea,0.8346198879724439,10,0.8719467301511107,2,0.8352069460976852,0.8724510811924091,0.0373268421786667,0.0005870581252412,0.0378311932199652
Cancers,Primary Malignancy Other Skin and subcutaneous tissue,0.7008656666043338,2,0.7052847623521685,3,0.699886888662869,0.7043192111396424,0.0044190957478347,-0.0009787779414648,0.0034535445353085
Cancers,Primary Malignancy colorectal and anus,0.6210627306458903,140,0.6256344139091984,25,0.6252705426717717,0.6306014451605755,0.004571683263308,0.0042078120258813,0.0095387145146851
Cancers,Secondary Malignancy Bone,0.6813114832990005,1,0.6707429394882023,5,0.6807861306911528,0.6840010747671672,-0.0105685438107981,-0.0005253526078476,0.0026895914681667
Cancers,Secondary Malignancy Lung,0.6871802610479395,13,0.6956789949438752,40,0.676250474685381,0.6873394568438439,0.0084987338959356,-0.0109297863625584,0.0001591957959043
Cancers,Secondary Malignancy Lymph Nodes,0.5867997885191752,236,0.6100830793240094,15,0.5765079483809987,0.600131240511838,0.0232832908048341,-0.0102918401381765,0.0133314519926627
Cancers,Secondary Malignancy Other organs,0.6623200991159391,84,0.6587184018160867,15,0.6727148053135424,0.6672274116869883,-0.0036016972998524,0.0103947061976032,0.0049073125710491
Cancers,Secondary Malignancy retroperitoneum and peritoneum,0.655847025076251,6,0.6574854961868526,1,0.65019358321212,0.652596355715422,0.0016384711106015,-0.005653441864131,-0.003250669360829
Cancers,Secondary malignancy Liver and intrahepatic bile duct,0.6544443885748218,1,0.6529299227323119,1,0.650108107719825,0.6484846961131504,-0.0015144658425099,-0.0043362808549968,-0.0059596924616713
Digestive,Abdominal Hernia,0.7149028100488914,10,0.7138456118731812,21,0.7248000516493766,0.7236905725150931,-0.0010571981757102,0.0098972416004851,0.0087877624662016
Digestive,Anal fissure,0.6048200246507117,201,0.5948367658937,23,0.5850854809543906,0.5955997641133709,-0.0099832587570116,-0.0197345436963211,-0.0092202605373408
Digestive,Barrett oesophagus,0.6519922865662603,32,0.6362226465405207,19,0.7321621587520556,0.7104108223597051,-0.0157696400257395,0.0801698721857953,0.0584185357934448
Digestive,Cholecystitis,0.6907290478409195,235,0.7073097583050829,9,0.6950134691494888,0.7109193832575527,0.0165807104641634,0.0042844213085693,0.0201903354166331
Digestive,Cholelithiasis,0.6908557825792275,7,0.6973999815840625,31,0.6838909353837082,0.6902851904162656,0.0065441990048349,-0.0069648471955193,-0.0005705921629619
